22,,,,,,,,,,,,
New Lead Y/N,URL from Google Analytics,Snowball Map,Restaurant Name,Address,City,State,,Menu Type,Business Phone,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=51316,51316,Royal Wok,4618 Brandt Pike,Dayton,OH,United States,Chinese,(937) 424-0525,,,
N,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=53951,53951,RaRaRamen,364 Center St NE,Salem,OR,United States,Japanese,(503) 581-1668,,,
Y,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=06869,06869,Big Flame Hibachi,42344 50th St W,Lancaster,CA,United States,Japanese,(661) 965-7111,,,
Y,https://getskt.com/2024jan/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=09667,09667,Mama Musubi,913 Meridian Ave,South Pasadena,CA,United States,Japanese,(323) 682-8089,,,
N,https://getskt.com/2024jan2/?utm_source=printshopus&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=58027,58027,Long Gong Chinese Restaurant,11920 SW 8th St,Miami,FL,United States,*American Chinese,3055534644,7866617988,3055106111,7865075669
N,https://getskt.com/2024jan2/?utm_source=printshopus&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=58883,58883,Super Japan,3122 Queens Chapel Rd,Hyattsville,MD,United States,*Japanese,3012090888,2023613372,,
N,https://getskt.com/2024jan3/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=59449,59449,95 NOODLE POT BAR,8528 WESTMINSTER BLVD,WESTMINSTER,CA,United States,Chinese,(714) 622-5997,,,
N,https://getskt.com/2024jan3/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=60320,60320,CAJUN KITCHEN ON DA GEAUX,1308 REID SCHOOL RD,TAYLORS,SC,United States,Cajun Seafood,(864) 867-7376,,,
N,https://getskt.com/2024jan3/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=60989,60989,CHINA WOK,445 PLAZA DR,EUSTIS,FL,United States,Chinese,(352) 483-1166,,,
N,https://getskt.com/2024jan3/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=61888,61888,FISH TALES,12317 WETMORE RD,SAN ANTONIO,TX,United States,Cajun Seafood,(210) 451-7551,,,
N,https://getskt.com/2024jan3/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=62360,62360,GOLDEN PEACOCK RESTAURANT,423 7TH ST UNIT 614,OAKLAND,CA,United States,Chinese,(510) 763-0338,,,
N,https://getskt.com/2024jan3/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=65935,65935,PANDA INN,3223 CENTRE LAKE DR,ONTARIO,CA,United States,Chinese,(909) 390-2888,,,
N,https://getskt.com/2024jan3/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=66363,66363,POE BOUYZ HOUSE,3500 N I 35 SERVICE RD,OKLAHOMA CITY,OK,United States,Cajun Seafood,(405) 673-7045,,,
N,https://getskt.com/2024jan3/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=67192,67192,SARKU JAPAN,1586 NORTHRIDGE MALL,SALINAS,CA,United States,Japanese,(831) 442-2085,,,
Y,https://getskt.com/2024jan3/?utm_source=oldlistus&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=69236,69236,WALK ONS SPORTS BISTREAUX - CONWAY,955 S AMITY RD,CONWAY,AR,United States,Cajun Seafood,(501) 399-4511,,,
N,https://getskt.com/2024jan4/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=71379,71379,Shangri - La Restaurant,5043 50 Ave S,Northern Rockies,BC,Canada,Chinese,(250) 233-2188,,,
Y,https://getskt.com/2024jan4/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=71619,71619,Go For Sushi Buffet,2105 8th St E,Saskatoon,SK,Canada,Japanese; Chinese; Thai,(306) 931-8898,,,
Y,https://getskt.com/2024jan4/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=71903,71903,Yong He Yong He All Day Breakfast,7077 Kennedy Rd,Markham,ON,Canada,Cantonese; Chinese,(905) 305-8258,,,
Y,https://getskt.com/2024jan4/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=72052,72052,New Regal Restaurant,111 Main St,Melfort,SK,Canada,Chinese,(306) 752-4883,,,
Y,https://getskt.com/2024jan4/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=72142,72142,Kel-Fen's Kitchen Chinese Restaurant,14783 108 Ave,Surrey,BC,Canada,Chinese,(604) 498-5066,,,
Y,https://getskt.com/2024jan4/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=72703,72703,Joyfulness Xi Le Bu Gei Zhan,10475 82 Ave NW,Edmonton,AB,Canada,Jamaican; Caribbean; Chinese,(780) 761-6699,,,
Y,https://getskt.com/2024jan4/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=72853,72853,Far East Foods,2830 17 Ave SE,Calgary,AB,Canada,Chinese,(403) 272-8090,,,
Y,https://getskt.com/2024jan4/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=72871,72871,Panda Cuisine Place,2121 Long Lake Rd,Greater Sudbury,ON,Canada,Chinese,(705) 988-2833,,,
Y,https://getskt.com/2024jan4/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=74859,74859,King Do Seafood Restaurant,13922 104 Ave,Surrey,BC,Canada,Chinese,(604) 582-6911,,,
Y,https://getskt.com/2024jan4/?utm_source=brizocan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=77872,77872,Spoon & Fork,478 Dundas St W,Oakville,ON,Canada,Japanese,(905) 257-6882,,,
Y,https://getskt.com/2024jan5/?utm_source=oldlistcan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=78477,78477,Kaiser's Wok,3255 Highway 7 E Unit 255 First Place,Markham,ON,Canada,Chinese,(905) 940-1088,,,
Y,https://getskt.com/2024jan5/?utm_source=oldlistcan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=80388,80388,Ming Shing Restaurant,7158 120 St,Surrey,BC,Canada,Chinese,(604) 599-0238,,,
N,https://getskt.com/2024jan6/?utm_source=printshopcan&utm_medium=DirectMail&utm_campaign=flightticket&utm_id=81174,81174,Sun Star Restaurant,631 BC-7,Coquitlam,BC,Canada,Traditional Chinese,(604) 937-5944,6049318776,,
