unique_code,density,density_band,expected_gmv_c,median_household_income,median_income_band,menu_type_c,cuisines_regional,cuisines_continental,population,population_band,region,school_zone,state_code,tenure_in_complete_months,zip_code
R85077,177,101 - 500,,"$16,916","$1 - $60,000",Chinese-Unknown,,,6853,"5,001 - 20,000",Midwest,D+,IL,2,62201
R85582,1231,"501 - 5,000",,"$27,876","$1 - $60,000",Cajun,,,49927,"20,201 - 50,000",Southeast,B-,FL,10,32304
R85225,5597,"5,001 - 20,000",,"$28,287","$1 - $60,000",Chinese-Unknown,,,31378,"20,201 - 50,000",Northeast,D+,PA,11,19132
R87256,212,101 - 500,,"$29,953","$1 - $60,000",Chinese-Unknown,,,15390,"5,001 - 20,000",Southeast,B+,SC,1,29624
R87251,64,1 - 100,,"$30,000","$1 - $60,000",Japanese,,,11954,"5,001 - 20,000",Southeast,B-,KY,0,40965
R86236,782,"501 - 5,000",,"$30,378","$1 - $60,000",Chinese-Unknown;Other;Sandwich,,,31631,"20,201 - 50,000",Southeast,C,LA,17,70501
R86391,6536,"5,001 - 20,000",,"$30,946","$1 - $60,000",Chinese-Unknown,,,51766,"50,001+",Northeast,D+,PA,0,19140
R85309,521,"501 - 5,000",,"$31,257","$1 - $60,000",Chinese-Unknown,,,25757,"20,201 - 50,000",Southeast,D+,AL,0,35020
R87082,82,1 - 100,,"$31,473","$1 - $60,000",Chinese-Unknown;Wings,,,27794,"20,201 - 50,000",Southeast,C-,SC,0,29115
R86167,134,101 - 500,,"$32,974","$1 - $60,000",Thai;Other,,,24596,"20,201 - 50,000",Southeast,A,AL,16,36832
R85863,2270,"501 - 5,000",,"$33,045","$1 - $60,000",Chinese-Unknown,,,38393,"20,201 - 50,000",Midwest,B,IL,0,61820
R87039,2973,"501 - 5,000",,"$33,136","$1 - $60,000",Chinese-Unknown,,,16480,"5,001 - 20,000",Northeast,C,NY,13,12206
R87235,2973,"501 - 5,000",,"$33,136","$1 - $60,000",Chinese-Unknown,,,16480,"5,001 - 20,000",Northeast,C,NY,8,12206
R86799,6863,"5,001 - 20,000",,"$33,766","$1 - $60,000",Chinese-Unknown,,,53560,"50,001+",Northeast,D+,PA,4,19104
R86618,6863,"5,001 - 20,000",,"$33,766","$1 - $60,000",Chinese-Unknown;Other,,,53560,"50,001+",Northeast,D+,PA,0,19104
R86826,45,1 - 100,,"$34,072","$1 - $60,000",Chinese-Unknown,,,23445,"20,201 - 50,000",Southeast,C-,MS,,38930
R86321,875,"501 - 5,000",,"$34,110","$1 - $60,000",Chinese-Unknown,,,12370,"5,001 - 20,000",Midwest,C-,OH,16,44509
R85186,18060,"5,001 - 20,000",,"$34,316","$1 - $60,000",Cajun,,,48136,"20,201 - 50,000",Northeast,B+,NY,0,10451
R85702,1444,"501 - 5,000",,"$34,732","$1 - $60,000",Chinese-Unknown,,,17691,"5,001 - 20,000",Southwest,B-,TX,10,76541
R85702,1444,"501 - 5,000",,"$34,732","$1 - $60,000",Chinese-Unknown,,,17691,"5,001 - 20,000",Southwest,B-,TX,10,76541
R86752,1491,"501 - 5,000",,"$34,988","$1 - $60,000",Chinese-Unknown,,,27750,"20,201 - 50,000",Southwest,C+,TX,7,77091
R87909,784,"501 - 5,000",45000,"$58,507","$1 - $60,000",Chinese-Unknown;Japanese,,,28969,"20,201 - 50,000",West,B+,ID,0,83705
R86729,338,101 - 500,,"$35,439","$1 - $60,000",Chinese-Unknown,,,16656,"5,001 - 20,000",Southeast,B,SC,4,29306
R85983,36489,"20,001+",,"$35,640","$1 - $60,000",Cajun,,,76713,"50,001+",Northeast,B+,NY,2,10029
R86173,5654,"5,001 - 20,000",,"$35,671","$1 - $60,000",Chinese-Unknown,,,32385,"20,201 - 50,000",Northeast,D+,PA,0,19121
R86383,18970,"5,001 - 20,000",,"$35,840","$1 - $60,000",Japanese;Cajun,,,75605,"50,001+",Northeast,B+,NY,9,11212
R86329,28,1 - 100,,"$36,225","$1 - $60,000",Chinese-Unknown,Chinese,Asian,17812,"5,001 - 20,000",Southeast,C-,MS,,38614
R83902,105,101 - 500,,"$36,358","$1 - $60,000",Japanese;Wings,,,22525,"20,201 - 50,000",Southeast,C+,MS,,38701
R87528,26,1 - 100,,"$36,762","$1 - $60,000",Chinese-Unknown,,,10574,"5,001 - 20,000",Southeast,C,NC,1,28337
R86735,2589,"501 - 5,000",,"$37,615","$1 - $60,000",Chinese-Unknown,,,16582,"5,001 - 20,000",Northeast,D-,PA,10,19602
R87106,212,101 - 500,,"$37,980","$1 - $60,000",Chinese-Unknown,,,29520,"20,201 - 50,000",Midwest,B-,OH,0,45662
R89032,7,1 - 100,,"$38,917","$1 - $60,000",Chinese-Unknown,,,5566,"5,001 - 20,000",West,C,CO,4,81067
R87582,40,1 - 100,,"$39,660","$1 - $60,000",Chinese-Unknown,,,6147,"5,001 - 20,000",Midwest,C+,MO,4,63863
R87281,1268,"501 - 5,000",,"$39,668","$1 - $60,000",Chinese-Unknown,,,23561,"20,201 - 50,000",Midwest,D-,MO,6,63121
R87723,11149,"5,001 - 20,000",,"$40,467","$1 - $60,000",Chinese-Unknown;Other,,,45795,"20,201 - 50,000",Northeast,B+,NY,7,11224
R87818,6658,"5,001 - 20,000",,"$40,723","$1 - $60,000",Pizza,,,29078,"20,201 - 50,000",Northeast,D,PA,6,19142
R85779,39,1 - 100,,"$40,724","$1 - $60,000",Japanese,,,13689,"5,001 - 20,000",Southeast,C+,SC,0,29520
R85586,36,1 - 100,,"$40,776","$1 - $60,000",Wings,,,25927,"20,201 - 50,000",Southeast,A-,MS,12,39301
R87682,109,101 - 500,,"$41,178","$1 - $60,000",Chinese-Unknown,,,26039,"20,201 - 50,000",Southwest,A,OK,7,74075
R83961,939,"501 - 5,000",,"$41,189","$1 - $60,000",Chinese-Unknown,,,25175,"20,201 - 50,000",Southeast,C-,GA,2,30904
R85873,6378,"5,001 - 20,000",,"$41,390","$1 - $60,000",Chinese-Unknown,,,49497,"20,201 - 50,000",Northeast,C-,PA,7,18102
R86263,2112,"501 - 5,000",,"$41,751","$1 - $60,000",Chinese-Unknown,Chinese,Asian,22833,"20,201 - 50,000",Northeast,B-,NY,,13208
R86995,1154,"501 - 5,000",,"$41,817","$1 - $60,000",Chinese-Unknown,,,39235,"20,201 - 50,000",Southeast,A,WV,2,26505
R86769,828,"501 - 5,000",,"$42,354","$1 - $60,000",Chinese-Unknown,,,40777,"20,201 - 50,000",Southeast,C,TN,12,38116
R86769,828,"501 - 5,000",,"$42,354","$1 - $60,000",Chinese-Unknown,,,40777,"20,201 - 50,000",Southeast,C,TN,12,38116
R87397,551,"501 - 5,000",,"$42,397","$1 - $60,000",Chinese-Unknown,,,11649,"5,001 - 20,000",Southeast,B-,FL,0,33853
R87618,551,"501 - 5,000",13000,"$42,397","$1 - $60,000",Japanese;Wings,,,11649,"5,001 - 20,000",Southeast,B-,FL,0,33853
R87316,33,1 - 100,51480,"$42,849","$1 - $60,000",Chinese-Unknown,,,11691,"5,001 - 20,000",Southeast,C-,NC,0,27910
R85261,1454,"501 - 5,000",,"$43,092","$1 - $60,000",Chinese-Unknown;Japanese,,,23388,"20,201 - 50,000",Southeast,B+,NC,2,27401
R86025,3772,"501 - 5,000",,"$43,282","$1 - $60,000",Chinese-Unknown,,,62842,"50,001+",Southeast,B,FL,0,33313
R89101,32736,"20,001+",10800,"$43,362","$1 - $60,000",Japanese;Other,,,74479,"50,001+",Northeast,B+,NY,,10002
R85522,1041,"501 - 5,000",,"$43,936","$1 - $60,000",Chinese-Unknown,,,24236,"20,201 - 50,000",Southeast,C-,MS,4,39206
R87968,1019,"501 - 5,000",29120,"$44,267","$1 - $60,000",Japanese;Wings;Sandwich,,,28966,"20,201 - 50,000",Southeast,C-,GA,0,30297
R87661,161,101 - 500,,"$44,458","$1 - $60,000",Chinese-Unknown,,,31607,"20,201 - 50,000",Southeast,B,VA,0,24540
R86889,2299,"501 - 5,000",,"$44,574","$1 - $60,000",Cajun,,,34125,"20,201 - 50,000",Southwest,B+,TX,6,78229
R85898,515,"501 - 5,000",,"$44,676","$1 - $60,000",Japanese,,,22345,"20,201 - 50,000",Southeast,B-,AL,13,35404
R85091,29,1 - 100,,"$44,820","$1 - $60,000",Chinese-Unknown;Japanese;Sandwich,,,18168,"5,001 - 20,000",Southeast,A-,MS,,38901
R85887,20,1 - 100,,"$45,084","$1 - $60,000",Chinese-Unknown,,,14315,"5,001 - 20,000",Southeast,B-,GA,5,31023
R87301,2545,"501 - 5,000",,"$45,092","$1 - $60,000",Chinese-Unknown;Japanese,,,47811,"20,201 - 50,000",Southeast,B,FL,0,33147
R86623,685,"501 - 5,000",,"$45,290","$1 - $60,000",Cajun,,,21639,"20,201 - 50,000",Southeast,C-,GA,0,30291
R85593,916,"501 - 5,000",,"$45,797","$1 - $60,000",Chinese-Unknown,,,34620,"20,201 - 50,000",Southeast,C+,SC,19,29406
R86667,1087,"501 - 5,000",,"$45,836","$1 - $60,000",Chinese-Unknown,,,16082,"5,001 - 20,000",Southeast,B,FL,6,33004
R86668,239,101 - 500,,"$46,124","$1 - $60,000",Chinese-Unknown;Japanese,,,58119,"50,001+",Southwest,C+,NM,17,87105
R86368,342,101 - 500,,"$46,133","$1 - $60,000",Chinese-Unknown,,,38053,"20,201 - 50,000",Southeast,C,SC,0,29150
R86981,342,101 - 500,,"$46,133","$1 - $60,000",Japanese;Wings;Other,,,38053,"20,201 - 50,000",Southeast,C,SC,,29150
R86981,342,101 - 500,,"$46,133","$1 - $60,000",Japanese,,,38053,"20,201 - 50,000",Southeast,C,SC,,29150
R85129,16739,"5,001 - 20,000",,"$46,228","$1 - $60,000",Chinese-Unknown,,,101255,"50,001+",Northeast,B+,NY,0,10467
R87676,52,1 - 100,,"$46,258","$1 - $60,000",Wings,,,19408,"5,001 - 20,000",Southeast,B,LA,2,70582
R87676,52,1 - 100,,"$46,258","$1 - $60,000",Chinese-Unknown;Cajun;Sandwich,,,19408,"5,001 - 20,000",Southeast,B,LA,2,70582
R89268,813,"501 - 5,000",22050,"$46,399","$1 - $60,000",Chinese-Unknown;Cajun,,,25545,"20,201 - 50,000",Southwest,B-,OK,0,73127
R85372,40,1 - 100,,"$46,433","$1 - $60,000",Chinese-Unknown,,,14477,"5,001 - 20,000",Southeast,C-,GA,16,39828
R85372,40,1 - 100,,"$46,433","$1 - $60,000",Chinese-Unknown,,,14477,"5,001 - 20,000",Southeast,C-,GA,16,39828
R87513,8401,"5,001 - 20,000",15000,"$46,505","$1 - $60,000",Chinese-Unknown,,,74060,"50,001+",Northeast,D+,PA,11,19120
R87108,36,1 - 100,,"$46,565","$1 - $60,000",Chinese-Unknown,,,28437,"20,201 - 50,000",Southeast,C-,MS,0,39046
R87503,152,101 - 500,,"$46,612","$1 - $60,000",Chinese-Unknown,,,32467,"20,201 - 50,000",Southeast,B-,WV,3,25801
R89122,177,101 - 500,,"$46,896","$1 - $60,000",Chinese-Unknown,,,32616,"20,201 - 50,000",Northeast,B-,PA,1,16101
R87109,657,"501 - 5,000",,"$47,098","$1 - $60,000",Chinese-Unknown,,,19794,"5,001 - 20,000",Southeast,B,FL,2,34470
R87565,530,"501 - 5,000",,"$47,107","$1 - $60,000",Japanese;Wings,,,32296,"20,201 - 50,000",Southeast,A-,SC,6,29577
R86199,334,101 - 500,,"$47,158","$1 - $60,000",Chinese-Unknown,,,6644,"5,001 - 20,000",Northeast,C-,PA,1,17976
R86262,4270,"501 - 5,000",,"$47,242","$1 - $60,000",Chinese-Unknown,,,22088,"20,201 - 50,000",Northeast,D+,PA,8,19023
R86762,1617,"501 - 5,000",,"$47,367","$1 - $60,000",Chinese-Unknown,,,29710,"20,201 - 50,000",Midwest,C,KS,0,67203
R85008,4107,"501 - 5,000",,"$47,479","$1 - $60,000",Chinese-Unknown,,,35925,"20,201 - 50,000",Midwest,B-,MN,,55414
R86921,1012,"501 - 5,000",,"$47,591","$1 - $60,000",Cajun,,,46799,"20,201 - 50,000",Southeast,A-,FL,1,33610
R83957,585,"501 - 5,000",,"$48,039","$1 - $60,000",Chinese-Unknown,,,3055,"1 - 5,000",Midwest,C+,MO,3,64054
R87068,211,101 - 500,,"$48,189","$1 - $60,000",Chinese-Unknown,,,55872,"50,001+",West,B-,CO,7,80631
R83918,2,1 - 100,,"$48,700","$1 - $60,000",Chinese-Unknown,,,2322,"1 - 5,000",Southwest,B+,AZ,17,85938
R89258,316,101 - 500,7000,"$48,924","$1 - $60,000",Chinese-Unknown,,,16984,"5,001 - 20,000",Midwest,B-,OH,0,44906
R87566,42,1 - 100,5400,"$49,067","$1 - $60,000",Chinese-Unknown,,,23792,"20,201 - 50,000",Southeast,B,KY,0,42066
R83955,950,"501 - 5,000",,"$49,100","$1 - $60,000",Wings,,,39312,"20,201 - 50,000",Southeast,C,SC,18,29210
R86962,3964,"501 - 5,000",,"$49,159","$1 - $60,000",Chinese-Unknown,,,56130,"50,001+",Southeast,B-,FL,0,33161
R87375,1642,"501 - 5,000",,"$41,587","$1 - $60,000",Chinese-Unknown,,,25746,"20,201 - 50,000",Midwest,D+,MI,0,48223
R85157,2551,"501 - 5,000",,"$49,634","$1 - $60,000",Chinese-Unknown,,,17023,"5,001 - 20,000",Midwest,D,OH,1,44123
R83853,1008,"501 - 5,000",,"$49,762","$1 - $60,000",Chinese-Unknown,,,24837,"20,201 - 50,000",Southwest,B-,TX,18,76710
R86877,1112,"501 - 5,000",,"$49,782","$1 - $60,000",Chinese-Unknown,,,31068,"20,201 - 50,000",Southwest,B-,TX,6,76117
R86019,55,1 - 100,,"$49,844","$1 - $60,000",Chinese-Unknown,,,8557,"5,001 - 20,000",Midwest,C,OH,19,43764
R86702,5888,"5,001 - 20,000",,"$50,000","$1 - $60,000",Chinese-Unknown,,,35427,"20,201 - 50,000",Northeast,C-,PA,0,19135
R85028,1088,"501 - 5,000",,"$50,200","$1 - $60,000",Chinese-Unknown,,,22622,"20,201 - 50,000",Southwest,B,TX,19,76011
R86625,1310,"501 - 5,000",,"$50,337","$1 - $60,000",Cajun,,,35861,"20,201 - 50,000",Southeast,C-,GA,0,30274
R86859,2880,"501 - 5,000",,"$50,339","$1 - $60,000",Japanese,,,45147,"20,201 - 50,000",Southeast,B,FL,6,33020
R86197,678,"501 - 5,000",,"$50,348","$1 - $60,000",Japanese,,,15301,"5,001 - 20,000",Southeast,A,SC,6,29631
R86969,81,1 - 100,,"$50,351","$1 - $60,000",Chinese-Unknown,,,21457,"20,201 - 50,000",Southeast,B,NC,1,28659
R87067,32,1 - 100,,"$50,576","$1 - $60,000",,,,15475,"5,001 - 20,000",Southeast,B-,TN,3,38261
R86662,689,"501 - 5,000",,"$50,620","$1 - $60,000",Chinese-Unknown,,,29888,"20,201 - 50,000",Southeast,B,NC,6,28303
R85618,1629,"501 - 5,000",,"$50,626","$1 - $60,000",Chinese-Unknown,,,36920,"20,201 - 50,000",Northeast,B+,NY,6,13501
R85266,571,"501 - 5,000",,"$50,857","$1 - $60,000",Chinese-Unknown,,,30220,"20,201 - 50,000",Southeast,B-,VA,3,24012
R86511,3213,"501 - 5,000",,"$50,886","$1 - $60,000",Chinese-Unknown,,,61122,"50,001+",Southwest,B,TX,4,77072
R86381,1407,"501 - 5,000",,"$50,945","$1 - $60,000",Chinese-Unknown;Cajun,,,5519,"5,001 - 20,000",Northeast,C,NY,4,12305
R86092,356,101 - 500,,"$50,953","$1 - $60,000",Chinese-Unknown,,,39977,"20,201 - 50,000",Southeast,B,FL,0,34748
R86812,44,1 - 100,,"$51,023","$1 - $60,000",Chinese-Unknown;Other,,,31812,"20,201 - 50,000",Southeast,B,KY,0,42141
R86239,93,1 - 100,,"$51,081","$1 - $60,000",Chinese-Unknown,,,23416,"20,201 - 50,000",Southeast,B+,FL,0,32025
R87089,1493,"501 - 5,000",,"$51,082","$1 - $60,000",Wings,,,26551,"20,201 - 50,000",Midwest,C-,WI,0,53225
R85537,40,1 - 100,,"$51,098","$1 - $60,000",Chinese-Unknown,,,11034,"5,001 - 20,000",Northeast,C+,PA,7,16407
R86852,192,101 - 500,,"$51,155","$1 - $60,000",,,,26906,"20,201 - 50,000",Southeast,B-,SC,11,29649
R86295,512,"501 - 5,000",,"$51,258","$1 - $60,000",Chinese-Unknown,,,63333,"50,001+",Midwest,B,OH,6,44035
R89051,370,101 - 500,0,"$51,411","$1 - $60,000",Chinese-Unknown;Japanese,,,25890,"20,201 - 50,000",Northeast,B,NY,5,13905
R86719,370,101 - 500,,"$51,411","$1 - $60,000",Chinese-Unknown,,,25890,"20,201 - 50,000",Northeast,B,NY,1,13905
R87289,217,101 - 500,,"$51,423","$1 - $60,000",,,,21886,"20,201 - 50,000",Southeast,B,NC,0,27263
R87289,217,101 - 500,,"$51,423","$1 - $60,000",Chinese-Unknown,,,21886,"20,201 - 50,000",Southeast,B,NC,0,27263
R86837,243,101 - 500,,"$51,503","$1 - $60,000",Chinese-Unknown;Wings,,,37001,"20,201 - 50,000",Midwest,B,MO,15,64801
R89058,25,1 - 100,15600,"$51,625","$1 - $60,000",Chinese-Unknown,,,3838,"1 - 5,000",Southeast,B-,GA,3,31037
R87036,168,101 - 500,,"$51,775","$1 - $60,000",Japanese,,,53960,"50,001+",Southeast,B,GA,8,30721
R87125,1674,"501 - 5,000",,"$51,778","$1 - $60,000",Chinese-Unknown,,,28964,"20,201 - 50,000",Southeast,B,FL,4,33442
R83888,840,"501 - 5,000",,"$51,814","$1 - $60,000",Chinese-Unknown;Thai,,,33563,"20,201 - 50,000",Midwest,C+,IL,3,62702
R85787,190,101 - 500,,"$51,982","$1 - $60,000",Chinese-Unknown,,,30986,"20,201 - 50,000",Southeast,B-,AL,3,36303
R89182,1258,"501 - 5,000",,"$52,160","$1 - $60,000",Wings,,,31551,"20,201 - 50,000",Southeast,C+,FL,0,33407
R85269,249,101 - 500,,"$52,255","$1 - $60,000",Chinese-Unknown,,,45721,"20,201 - 50,000",Midwest,B-,SD,0,57701
R87327,107,101 - 500,,"$52,270","$1 - $60,000",Chinese-Unknown,,,15624,"5,001 - 20,000",Midwest,B,MO,0,63601
R85701,107,101 - 500,,"$52,270","$1 - $60,000",Chinese-Unknown,,,15624,"5,001 - 20,000",Midwest,B,MO,0,63601
R86819,893,"501 - 5,000",,"$50,435","$1 - $60,000",Chinese-Unknown,,,35183,"20,201 - 50,000",Midwest,B+,MI,9,48910
R89066,181,101 - 500,,"$52,432","$1 - $60,000",Japanese,,,82923,"50,001+",Southwest,B-,TX,1,78666
R86731,1403,"501 - 5,000",,"$50,822","$1 - $60,000",Chinese-Unknown,,,17452,"5,001 - 20,000",Midwest,B-,MI,1,48912
R85357,13162,"5,001 - 20,000",,"$52,569","$1 - $60,000",Chinese-Unknown,,,91083,"50,001+",Northeast,B+,NY,5,11207
R85906,773,"501 - 5,000",,"$52,603","$1 - $60,000",Chinese-Unknown;Japanese,,,51054,"50,001+",Southeast,B+,SC,12,29223
R85181,42,1 - 100,,"$52,657","$1 - $60,000",Chinese-Unknown,,,17374,"5,001 - 20,000",Midwest,C+,OH,27,44820
R83838,56,1 - 100,,"$52,801","$1 - $60,000",Chinese-Unknown,,,6832,"5,001 - 20,000",Midwest,B-,OH,27,44827
R85508,79,1 - 100,,"$52,927","$1 - $60,000",Japanese,,,10208,"5,001 - 20,000",Southeast,B-,AL,18,35501
R86017,972,"501 - 5,000",,"$53,099","$1 - $60,000",Wings,,,57967,"50,001+",Southeast,C-,GA,0,31907
R86125,2210,"501 - 5,000",,"$53,197","$1 - $60,000",Chinese-Unknown;Japanese,,,16182,"5,001 - 20,000",Northeast,C-,PA,0,16508
R89002,351,101 - 500,,"$53,222","$1 - $60,000",Chinese-Unknown;Japanese,,,63199,"50,001+",Southeast,B,NC,0,27406
R86907,2751,"501 - 5,000",,"$52,887","$1 - $60,000",Wings;Other,,,39323,"20,201 - 50,000",Midwest,C,MI,,49507
R86779,223,101 - 500,,"$53,294","$1 - $60,000",Chinese-Unknown,,,40090,"20,201 - 50,000",Northeast,C,PA,1,18702
R87699,3936,"501 - 5,000",,"$53,394","$1 - $60,000",Chinese-Unknown;Sandwich,,,63829,"50,001+",Southeast,C-,DC,0,20019
R86607,758,"501 - 5,000",,"$53,426","$1 - $60,000",Chinese-Unknown;Cajun;Sandwich,,,40662,"20,201 - 50,000",Southeast,B,LA,12,70506
R85529,129,101 - 500,,"$53,544","$1 - $60,000",Chinese-Unknown,,,17924,"5,001 - 20,000",Southeast,B-,FL,0,34613
R87511,9231,"5,001 - 20,000",,"$53,562","$1 - $60,000",Cajun,,,58055,"50,001+",Northeast,C-,PA,0,19149
R83992,366,101 - 500,,"$53,569","$1 - $60,000",Chinese-Unknown,,,40519,"20,201 - 50,000",Southeast,C+,FL,18,33880
R85879,1880,"501 - 5,000",,"$53,760","$1 - $60,000",Chinese-Unknown,,,13528,"5,001 - 20,000",Southeast,C+,VA,16,23663
R86389,20,1 - 100,,"$53,766","$1 - $60,000",Chinese-Unknown;Thai,,,7107,"5,001 - 20,000",Midwest,C,IL,0,62439
R87863,869,"501 - 5,000",,"$53,809","$1 - $60,000",Chinese-Unknown,,,25368,"20,201 - 50,000",Southeast,C-,GA,0,30260
R85088,1743,"501 - 5,000",,"$53,931","$1 - $60,000",Chinese-Unknown,,,32327,"20,201 - 50,000",Southeast,B,FL,19,32277
R86862,1943,"501 - 5,000",,"$54,178","$1 - $60,000",Cajun,,,58198,"50,001+",Southeast,B,FL,8,32818
R86771,406,101 - 500,,"$54,190","$1 - $60,000",Chinese-Unknown,,,14432,"5,001 - 20,000",Northeast,B-,NY,10,12182
R88239,23744,"20,001+",,"$54,211","$1 - $60,000",Chinese-Unknown,,,67056,"50,001+",Northeast,B+,NY,103,11213
R87996,177,101 - 500,,"$54,250","$1 - $60,000",Chinese-Unknown,,,50402,"50,001+",West,B+,CA,0,92243
R87996,177,101 - 500,,"$54,250","$1 - $60,000",Chinese-Unknown,,,50402,"50,001+",West,B+,CA,0,92243
R86961,992,"501 - 5,000",,"$54,792","$1 - $60,000",Japanese,,,40852,"20,201 - 50,000",Midwest,B-,MI,0,48911
R85912,70,1 - 100,,"$54,391","$1 - $60,000",Other,,,43123,"20,201 - 50,000",Southeast,C-,GA,,31061
R85255,270,101 - 500,,"$54,604","$1 - $60,000",Chinese-Unknown,,,29519,"20,201 - 50,000",Southeast,C+,NC,1,27804
R87666,141,101 - 500,,"$54,831","$1 - $60,000",Japanese,,,31545,"20,201 - 50,000",Northeast,B-,PA,1,16601
R85793,141,101 - 500,,"$54,831","$1 - $60,000",Chinese-Unknown,,,31545,"20,201 - 50,000",Northeast,B-,PA,0,16601
R87998,3505,"501 - 5,000",,"$54,884","$1 - $60,000",Chinese-Unknown,,,47123,"20,201 - 50,000",Southeast,B,FL,3,33162
R83998,103,101 - 500,,"$55,114","$1 - $60,000",Japanese,,,30374,"20,201 - 50,000",Southwest,B-,OK,13,74403
R85579,2116,"501 - 5,000",,"$55,216","$1 - $60,000",Chinese-Unknown,,,49600,"20,201 - 50,000",West,C+,NV,5,89122
R85632,1123,"501 - 5,000",,"$55,346","$1 - $60,000",Chinese-Unknown,,,28296,"20,201 - 50,000",Northeast,B-,NY,5,14606
R86201,78,1 - 100,,"$55,423","$1 - $60,000",Chinese-Unknown,,,38066,"20,201 - 50,000",Southeast,B+,KY,2,42420
R85918,2197,"501 - 5,000",,"$55,536","$1 - $60,000",Chinese-Unknown,,,4543,"1 - 5,000",Southeast,B-,VA,1,23517
R85693,820,"501 - 5,000",,"$55,613","$1 - $60,000",Chinese-Unknown,,,38024,"20,201 - 50,000",Midwest,B-,IL,23,61201
R87107,919,"501 - 5,000",,"$55,614","$1 - $60,000",Japanese,,,20525,"20,201 - 50,000",Northeast,B-,PA,0,18504
R85017,3185,"501 - 5,000",,"$55,935","$1 - $60,000",Chinese-Unknown,,,73991,"50,001+",West,C,NV,16,89108
R86602,77,1 - 100,,"$56,000","$1 - $60,000",Chinese-Unknown,,,6078,"5,001 - 20,000",Southeast,B+,NC,13,28097
R86983,9,1 - 100,,"$56,145","$1 - $60,000",Chinese-Unknown;Other,,,6288,"5,001 - 20,000",Southeast,C+,GA,2,39837
R86712,75,1 - 100,,"$56,147","$1 - $60,000",Chinese-Unknown,,,17972,"5,001 - 20,000",Southeast,B+,MS,0,39520
R87379,23,1 - 100,32760,"$56,218","$1 - $60,000",Chinese-Unknown,,,7094,"5,001 - 20,000",Southeast,C-,SC,9,29160
R87356,110,101 - 500,,"$56,276","$1 - $60,000",Chinese-Unknown;Wings,,,27582,"20,201 - 50,000",Southeast,B+,LA,0,70663
R85373,10934,"5,001 - 20,000",,"$56,298","$1 - $60,000",Chinese-Unknown,,,101313,"50,001+",Northeast,B+,NY,3,11208
R85377,10934,"5,001 - 20,000",,"$56,298","$1 - $60,000",Chinese-Unknown,,,101313,"50,001+",Northeast,B+,NY,10,11208
R87392,10934,"5,001 - 20,000",,"$56,298","$1 - $60,000",Chinese-Unknown,,,101313,"50,001+",Northeast,B+,NY,11,11208
R87509,89,1 - 100,,"$56,313","$1 - $60,000",Chinese-Unknown,,,25232,"20,201 - 50,000",Midwest,B-,OH,0,44460
R85726,2330,"501 - 5,000",,"$56,415","$1 - $60,000",Chinese-Unknown,,,41626,"20,201 - 50,000",Southeast,B,FL,17,33169
R85982,498,101 - 500,,"$56,420","$1 - $60,000",Chinese-Unknown,,,40867,"20,201 - 50,000",Midwest,C+,OH,1,45324
R85878,342,101 - 500,,"$56,432","$1 - $60,000",Chinese-Unknown;Japanese,,,17223,"5,001 - 20,000",Southeast,A-,NC,20,27409
R87208,379,101 - 500,,"$56,533","$1 - $60,000",Other,,,59182,"50,001+",Southeast,A-,NC,0,27858
R83905,58,1 - 100,,"$58,498","$1 - $60,000",Chinese-Unknown,,,23685,"20,201 - 50,000",Midwest,B-,MI,4,49036
R85053,132,101 - 500,,"$56,593","$1 - $60,000",Chinese-Unknown;Japanese,,,13714,"5,001 - 20,000",Southeast,B-,TN,0,37760
R85913,91,1 - 100,,"$56,600","$1 - $60,000",Chinese-Unknown,,,11546,"5,001 - 20,000",Southeast,A-,FL,13,33592
R85338,1769,"501 - 5,000",,"$56,665","$1 - $60,000",Chinese-Unknown;Japanese;Thai,,,38382,"20,201 - 50,000",West,B-,CO,21,80909
R85805,67,1 - 100,,"$56,844","$1 - $60,000",Chinese-Unknown;Japanese,,,19464,"5,001 - 20,000",Southeast,B,TN,0,37321
R86388,9516,"5,001 - 20,000",,"$56,854","$1 - $60,000",Wings,,,53684,"50,001+",Northeast,B+,NY,0,11354
R87162,46,1 - 100,,"$57,124","$1 - $60,000",Chinese-Unknown;Japanese,,,16298,"5,001 - 20,000",Southeast,B-,TN,0,38019
R87912,1696,"501 - 5,000",,"$57,143","$1 - $60,000",Chinese-Unknown,,,40109,"20,201 - 50,000",Midwest,C-,WI,0,53221
R87117,342,101 - 500,,"$57,150","$1 - $60,000",Japanese,,,61768,"50,001+",Northeast,B+,MD,4,21740
R86328,1498,"501 - 5,000",,"$57,245","$1 - $60,000",Chinese-Unknown,,,19867,"5,001 - 20,000",Southwest,B-,TX,4,75116
R87312,49,1 - 100,,"$57,274","$1 - $60,000",Chinese-Unknown,,,20610,"20,201 - 50,000",Midwest,B-,IA,0,50208
R83881,1057,"501 - 5,000",,"$57,378","$1 - $60,000",Chinese-Unknown,,,24995,"20,201 - 50,000",Southeast,B,FL,2,34769
R86039,1040,"501 - 5,000",,"$57,581","$1 - $60,000",Chinese-Unknown,,,24384,"20,201 - 50,000",Southeast,A-,FL,0,33607
R85358,1505,"501 - 5,000",,"$57,581","$1 - $60,000",Chinese-Unknown,,,18695,"5,001 - 20,000",West,B-,NV,2,89146
