Page location,Date,Sessions,language_test,drop_group,snowball_id,list_source,country,format
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=35717,2023-12-04,1,Chinese Version,Drop 1 - US,35717,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=37238,2023-12-31,1,Chinese Version,Drop 1 - US,37238,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=37292,2023-12-04,1,Chinese Version,Drop 1 - US,37292,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=38284,2023-12-09,1,Chinese Version,Drop 1 - US,38284,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=38284,2023-12-10,1,Chinese Version,Drop 1 - US,38284,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=38331,2023-12-04,1,Chinese Version,Drop 1 - US,38331,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=38342,2023-12-06,1,Chinese Version,Drop 1 - US,38342,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=38389,2023-12-16,2,Chinese Version,Drop 1 - US,38389,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=38818,2023-12-08,1,Chinese Version,Drop 1 - US,38818,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=38852,2023-12-05,1,Chinese Version,Drop 1 - US,38852,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=39413,2023-12-05,2,Chinese Version,Drop 1 - US,39413,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=4088,2023-12-06,1,Chinese Version,Drop 1 - US,04088,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=41105,2023-12-11,1,Chinese Version,Drop 1 - US,41105,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=41140,2023-12-06,1,Chinese Version,Drop 1 - US,41140,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=41234,2023-12-05,1,Chinese Version,Drop 1 - US,41234,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=41365,2023-12-05,1,Chinese Version,Drop 1 - US,41365,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=41541,2023-12-26,1,Chinese Version,Drop 1 - US,41541,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=41606,2023-12-04,1,Chinese Version,Drop 1 - US,41606,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=41643,2023-12-11,1,Chinese Version,Drop 1 - US,41643,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=5355,2023-12-05,1,Chinese Version,Drop 1 - US,05355,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=6421,2023-12-05,1,Chinese Version,Drop 1 - US,06421,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=7051,2023-12-06,1,Chinese Version,Drop 1 - US,07051,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=8070,2023-12-02,1,Chinese Version,Drop 1 - US,08070,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=8287,2023-12-05,1,Chinese Version,Drop 1 - US,08287,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=8437,2023-12-04,2,Chinese Version,Drop 1 - US,08437,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=8437,2023-12-05,2,Chinese Version,Drop 1 - US,08437,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=8736,2023-12-04,1,Chinese Version,Drop 1 - US,08736,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=8766,2023-12-10,1,Chinese Version,Drop 1 - US,08766,Brizo,United States,3D card
https://getskt.com/2023christmas/?utm_source=brizous&utm_medium=DirectMail&utm_campaign=christmas&utm_id=8910,2023-12-05,1,Chinese Version,Drop 1 - US,08910,Brizo,United States,3D card
