fill_info,State,Contact_Title,Year_Established,Employee_Size,Country,Campaign_Name,New_Category
Didn't Fill,TX,Unknown,NA,9,USA,Apple,Unknown
Didn't Fill,FL,Unknown,NA,9,USA,Apple,Unknown
Didn't Fill,FL,Unknown,NA,9,USA,Apple,Chinese
Didn't Fill,CA,Unknown,NA,9,USA,Apple,Japanese
Didn't Fill,CA,Unkown,NA,9,USA,Apple,Chinese
Didn't Fill,SC,Unknown,NA,9,USA,Apple,Japanese
Didn't Fill,CA,Unkown,NA,9,USA,Apple,Japanese
Didn't Fill,AL,Unkown,NA,9,USA,Apple,Cajun_Seafood
Didn't Fill,CA,Unkown,NA,9,USA,Apple,Japanese
Didn't Fill,OH,Unkown,NA,9,USA,Apple,Cajun_Seafood
Didn't Fill,CO,Unknown,NA,9,USA,Apple,Chinese
Didn't Fill,VA,Unkown,NA,9,USA,Apple,Unknown
Didn't Fill,VA,Unkown,NA,9,USA,Apple,Unknown
Didn't Fill,CO,Unkown,NA,9,USA,Apple,Unknown
Didn't Fill,FL,Unkown,NA,9,USA,Apple,Unknown
Didn't Fill,FL,Unkown,NA,9,USA,Apple,Unknown
Didn't Fill,FL,Unkown,NA,9,USA,Apple,Unknown
Didn't Fill,FL,Unkown,NA,9,USA,Apple,Unknown
Didn't Fill,LA,Unkown,NA,9,USA,Apple,Unknown
Didn't Fill,CA,Unkown,NA,9,USA,Apple,Unknown
Didn't Fill,VA,Unkown,NA,9,USA,Apple,Unknown
Didn't Fill,GA,Unkown,NA,9,USA,Apple,Unknown
Didn't Fill,IL,Unkown,NA,9,USA,Apple,Unknown
Didn't Fill,TX,Unkown,NA,9,USA,Apple,Unknown
Didn't Fill,PA,Unkown,NA,9,USA,Apple,Unknown
Didn't Fill,CA,Unkown,NA,9,USA,Apple,Unknown
Didn't Fill,CA,Unkown,NA,9,USA,Apple,Unknown
Didn't Fill,FL,Unkown,NA,9,USA,Apple,Unknown
Didn't Fill,VA,Unknown,NA,10,USA,Apple,Chinese
Didn't Fill,OR,Unknown,NA,10,USA,Apple,Japanese
Didn't Fill,OR,Unknown,NA,10,USA,Apple,Japanese
Didn't Fill,CA,Unknown,NA,10,USA,Apple,Asian_Fusion
Didn't Fill,NJ,Unkown,NA,10,USA,Apple,Chinese
Didn't Fill,NE,Unknown,NA,10,USA,Apple,Chinese
Didn't Fill,NJ,Unkown,NA,10,USA,Apple,Chinese
Didn't Fill,LA,Unknown,NA,10,USA,Apple,Cajun_Seafood
Didn't Fill,SC,Unknown,NA,11,USA,Apple,Japanese
Didn't Fill,CA,Unknown,NA,11,USA,Apple,Chinese
Didn't Fill,WV,Unknown,NA,11,USA,Apple,Japanese
Didn't Fill,FL,Unknown,NA,11,USA,Apple,Chinese
Didn't Fill,TX,Unkown,NA,12,USA,Apple,Chinese
Didn't Fill,TX,Unknown,NA,12,USA,Apple,Japanese
Didn't Fill,NJ,Unkown,NA,12,USA,Apple,Japanese
Didn't Fill,FL,Unknown,NA,12,USA,Apple,Japanese
Didn't Fill,NC,Unknown,NA,13,USA,Apple,Japanese
Didn't Fill,CA,Unknown,NA,13,USA,Apple,Chinese
Didn't Fill,IN,Unknown,NA,13,USA,Apple,Japanese
Filled,TX,Unknown,NA,15,USA,Apple,Chinese
Didn't Fill,IA,Unknown,NA,17,USA,Apple,Japanese
Didn't Fill,PA,Unknown,NA,18,USA,Apple,Chinese
Didn't Fill,AZ,Unkown,NA,18,USA,Apple,Japanese
Didn't Fill,BC,Unknown,NA,19,Canada,Apple,Chinese
Didn't Fill,ON,Unkown,NA,19,Canada,Apple,Chinese
Didn't Fill,BC,Unkown,NA,19,Canada,Apple,Chinese
Didn't Fill,VA,Unknown,NA,19,USA,Apple,Unknown
Didn't Fill,MI,Unkown,NA,19,USA,Apple,Unknown
Didn't Fill,MI,Unkown,NA,19,USA,Apple,Unknown
Didn't Fill,NE,Unkown,NA,19,USA,Apple,Unknown
Didn't Fill,VA,Unkown,NA,19,USA,Apple,Unknown
Didn't Fill,TX,Unkown,NA,19,USA,Apple,Unknown
Filled,IL,Unknown,NA,20,USA,Apple,Chinese
Didn't Fill,IN,Unknown,NA,28,USA,Apple,Japanese
Didn't Fill,CA,Unknown,NA,28,USA,Apple,Asian_Fusion
Didn't Fill,MA,Unknown,NA,33,USA,Apple,Japanese
Didn't Fill,PA,Unknown,NA,35,USA,Apple,Japanese
Didn't Fill,NS,Unkown,NA,49,Canada,Apple,Chinese
Didn't Fill,BC,Unkown,NA,49,Canada,Apple,Chinese
Didn't Fill,MA,Unkown,NA,49,USA,Apple,Unknown
Didn't Fill,MA,Unkown,NA,49,USA,Apple,Unknown
Didn't Fill,ON,Unknown,NA,99,Canada,Apple,Chinese
Didn't Fill,MN,Unkown,NA,49,USA,Apple,Unknown
Didn't Fill,SC,Unkown,NA,49,USA,Apple,Unknown
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Chinese
Filled,ON,Unknown,NA,NA,Canada,Apple,Japanese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Japanese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Japanese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Japanese
Filled,ON,Unknown,NA,NA,Canada,Apple,Japanese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Japanese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Japanese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,ON,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,MB,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,AB,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,AB,Unknown,NA,NA,Canada,Apple,Cajun Seafood
Didn't Fill,AB,Unknown,NA,NA,Canada,Apple,Japanese
Didn't Fill,AB,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,AB,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,AB,Unknown,NA,NA,Canada,Apple,Cajun Seafood
Didn't Fill,AB,Unknown,NA,NA,Canada,Apple,Japanese
Didn't Fill,AB,Unknown,NA,NA,Canada,Apple,Japanese
Didn't Fill,AB,Unknown,NA,NA,Canada,Apple,Japanese
Didn't Fill,AB,Unknown,NA,NA,Canada,Apple,Japanese
Didn't Fill,AB,Unknown,NA,NA,Canada,Apple,Japanese
Didn't Fill,AB,Unknown,NA,NA,Canada,Apple,Japanese
Didn't Fill,BC,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,BC,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,BC,Unknown,NA,NA,Canada,Apple,Japanese
Didn't Fill,BC,Unknown,NA,NA,Canada,Apple,Japanese
Didn't Fill,BC,Unknown,NA,NA,Canada,Apple,Japanese
Didn't Fill,BC,Unknown,NA,NA,Canada,Apple,Chinese
Filled,BC,Unknown,NA,NA,Canada,Apple,Chinese
Didn't Fill,BC,Unknown,NA,NA,Canada,Apple,Japanese
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Unknown
Didn't Fill,MI,Unknown,NA,NA,USA,Apple,Unknown
Filled,CO,Unknown,NA,NA,USA,Apple,Unknown
Didn't Fill,WA,Unknown,NA,NA,USA,Apple,Unknown
Filled,FL,Unknown,NA,NA,USA,Apple,Unknown
Didn't Fill,OH,Unknown,NA,NA,USA,Apple,Unknown
Didn't Fill,VT,Unknown,NA,NA,USA,Apple,Unknown
Didn't Fill,CO,Unknown,NA,NA,USA,Apple,Unknown
Didn't Fill,VA,Unknown,NA,NA,USA,Apple,Unknown
Didn't Fill,VA,Unknown,NA,NA,USA,Apple,Unknown
Didn't Fill,FL,Unknown,NA,NA,USA,Apple,Unknown
Didn't Fill,CA,Unknown,NA,NA,USA,Apple,Unknown
