quarter,month_c,date_c,week_c,campaign_c,unique_id,date,pageLocation,region,country
Q4,10,10/16/24,10/14-10/20,2024-oct-dm-chinese,34956,20241016,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=34956,Minnesota,United States
Q4,10,10/16/24,10/14-10/20,2024-oct-dm-chinese,45545,20241016,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=45545,Oregon,United States
Q4,10,10/16/24,10/14-10/20,2024-oct-dm-western,11939,20241016,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=11939,Virginia,United States
Q4,10,10/17/24,10/14-10/20,2024-aug-dm-300giftcard,39892,20241017,https://getskt.com/2024-aug-dm-300giftcard/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sql300giftcard&utm_id=39892,Virginia,United States
Q4,10,10/17/24,10/14-10/20,2024-oct-dm-western,14632,20241017,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=14632,Nebraska,United States
Q4,10,10/17/24,10/14-10/20,2024-oct-dm-western,25650,20241017,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=25650,Washington,United States
Q4,10,10/18/24,10/14-10/20,2024-oct-dm-western,25650,20241018,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=25650,Washington,United States
Q4,10,10/19/24,10/14-10/20,2024apr-cw-v3,39338,20241019,https://getskt.com/2024apr-cw-v3/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=CW&utm_id=39338,New York,United States
Q4,10,10/21/24,10/21-10/27,2024-oct-dm-chinese,48701,20241021,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=48701,Texas,United States
Q4,10,10/21/24,10/21-10/27,2024-oct-dm-western,23259,20241021,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=23259,Illinois,United States
Q4,10,10/21/24,10/21-10/27,2024jun-brizo50off-v2,36756,20241021,https://getskt.com/2024jun-brizo50off-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=Brizo50off&utm_id=36756,Maryland,United States
Q4,10,10/23/24,10/21-10/27,2024-oct-dm-western,00513,20241023,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=00513,Arizona,United States
Q4,10,10/23/24,10/21-10/27,2024-oct-dm-western,00513,20241023,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=00513,New Mexico,United States
Q4,10,10/23/24,10/21-10/27,2024-oct-dm-western,25388,20241023,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=25388,Washington,United States
Q4,10,10/24/24,10/21-10/27,2024-aug-dm-100giftcard,13628,20241024,https://getskt.com/2024-aug-dm-100giftcard/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sql100giftcard&utm_id=13628,Michigan,United States
Q4,10,10/24/24,10/21-10/27,2024-oct-dm-western,25388,20241024,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=25388,Washington,United States
Q4,10,10/28/24,10/28-11/03,2024-oct-dm-western,,20241028,https://getskt.com/2024-oct-dm-western/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupawestern&utm_id=*****,Louisiana,United States
Q4,10,10/29/24,10/28-11/03,2024-aug-dm-300giftcard,39892,20241029,https://getskt.com/2024-aug-dm-300giftcard/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sql300giftcard&utm_id=39892,California,United States
Q4,10,10/29/24,10/28-11/03,2024-oct-dm-chinese,32495,20241029,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=32495,California,United States
Q4,10,10/29/24,10/28-11/03,2024-sep-dm-100giftcard-creative,13100,20241029,https://getskt.com/2024-sep-dm-100giftcard-creative/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupasql100giftcard&utm_id=13100,Ohio,United States
Q4,10,10/30/24,10/28-11/03,2024-aug-dm-300giftcard,39892,20241030,https://getskt.com/2024-aug-dm-300giftcard/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sql300giftcard&utm_id=39892,California,United States
Q4,10,10/30/24,10/28-11/03,2024-oct-dm-chinese,32495,20241030,https://getskt.com/2024-oct-dm-chinese/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=groupbchinese&utm_id=32495,California,United States
