Snowball Map,Company / Account,Street,City,Zip/Postal Code,State/Province (text only),MobilePrimary,BusinessPhone
68964,Yummy Sushi,677 Chestnut Commons Dr,Elyria,44035,OH,,4403661116
68965,Umami Rice Bowls,22255 Lorain Rd,Fairview Park,44126,OH,,4403857295
68966,Osaka Sushi House & Bar,"30 W Main St, Madison",Madison,44057,OH,,4404283474
68967,Otani Japanese Restaurant,"3490, 1625 Golden Gate Plaza, Mayfield Heights",Mayfield Heights,44124,OH,,4404427098
68968,Feng Lz Hibachi Sushi & Bar,"1100 W Royalton Rd, Unit F",Broadview Heights,44147,OH,,4404572380
68969,Imperial Garden,24201 Lorain Rd N,North Olmsted,44070,OH,,4404714888
68970,Hibachi Taste,27043 Chardon Rd,Richmond Heights,44143,OH,,4404947089
68971,Shinano Sushi Bar & Japanese Cuisine,28500 Miles Rd,Solon,44139,OH,,4404981614
68972,BIBIBOP Asian Grill,3091 Westgate Mall,Fairview Park,44126,OH,,4405531599
68973,Westel's Alibi & Hush,4084 Erie St,Willoughby,44094,OH,,4405715321
68974,Sushi Junki,79 West St,Chagrin Falls,44022,OH,,4406007084
68975,Ohashi,24539 Lorain Rd,North Olmsted,44070,OH,,4407160988
68976,Issho Ni Poke Bar,"9570 Ave, Unit L",Mentor,44060,OH,,4407548204
68977,Shinto Japanese Steakhouse and Sushi Bar -Westlake,857 Columbia Rd,Westlake,44145,OH,,4407725017
68978,RAAN THAI,22610 Lorain Rd,Fairview Park,44126,OH,,4408276003
68979,Ichiraku Japanese Noodle Shop,"9853 Johnnycake Ridge Rd, Ste 15",Mentor,44060,OH,,4408531332
68980,Maki,9582 Diamond Center Dr,Mentor,44060,OH,,4408538685
68981,Arashi Japan,30006 Detroit Rd,Westlake,44145,OH,,4408928888
68982,17 River Grille,17 River St Chagrin Falls,Chagrin Falls,44022,OH,,4408930797
68983,Fujiyama Steakhouse & Sushi Bar,35840 Chester Rd,Avon,44011,OH,,4409373888
68984,Ballantine,4113 Erie St,Willoughby,44094,OH,,4409425151
68985,Young's Sushi,12 Public Square,Willoughby,44094,OH,,4409510002
68986,Los Ce B Ches Mariscos & Sushi,1074 E Cole Blvd,Calexico,92231,CA,,4422701402
68987,Yuzu Sushi,300 Coastal Hwy,Fenwick Island,19944,DE,,4438804738
68988,Rock N Roll Sushi - McDonough,1104 Hwy 20,McDonough,30253,GA,,4702036200
68989,One Flew South - Atlanta,"670 DeKalb Ave NE, Ste 102",Atlanta,30307,GA,,4702257119
68990,Kona Grill,5100 Avalon Blvd,Alpharetta,30009,GA,,4702261540
68991,Zen Ramen & Sushi Burrito,957 Joe Frank Harris Pkwy SE,Cartersville,30120,GA,,4702277125
68992,Urban Wok,"705 Town Blvd, Bldg R, Ste A415",Atlanta,30319,GA,,4702404198
68993,Poke Burri,477 Flat Shoals Ave SE,Atlanta,30316,GA,,4702650778
68994,Sushi & Co,"3170 Peachtree Industrial Blvd, Ste 155",Duluth,30097,GA,,4702941050
68995,Samurai Tea,"3455 Peachtree Industrial Blvd, Ste 205",Duluth,30096,GA,,4702941171
68996,Extreme Teriyaki Grill Express,2625 Piedmont Rd NE,Atlanta,30324,GA,,4703122930
68997,Kinnotori Ramen Bar,"650 Ponce De Leon Ave NE, Ste 810A",Atlanta,30308,GA,,4703122964
68998,Maki Sushi,"5925 Atlanta Hwy, Ste 100",Alpharetta,30004,GA,,4703214395
68999,Sushi Nami,4369 Dam Rd,Suwanee,30024,GA,,4703234093
69000,Umaizushi,"6000 North Terminal, C Center Point Terminal",Atlanta,30320,GA,,4703437592
69001,Kinjo Room,1115 Howell Mill Rd,Atlanta,30318,GA,,4703559138
69002,Momo Japanese Restaurant,"3375 Sugarloaf Pkwy, Ste 102",Lawrenceville,30044,GA,,4703597903
69003,TG Asian Cuisine Express,"6768 Browns Mill Rd, Unit 700",Stonecrest,30038,GA,,4704089498
69004,Chirori - Yakitori & Kushikatsu,349 14th St Nw C-1,Atlanta,30318,GA,,4704273171
69005,MESU,570 King St,Charleston,29403,SC,,8544291011
69006,Oak Barrel Tavern,825 Savannah Hwy,Charleston,29407,SC,,8549993933
69007,Jade Hibachi Grill,271 Ashley Ave,Charleston,29403,SC,,8549993943
69008,Gold Cup Wine Bar,500 N Pendleton St,Middleburg,20117,VA,,8552722027
69009,Wasabi Japanese's Cuisine,127 Ark Rd,Mount Laurel,8054,NJ,,8562229251
69010,Suki Hana,"400 W Route 38, Ste 1655",Moorestown,8057,NJ,,8562423113
69011,Sushi To Go,826 Haddonfield Rd,Cherry Hill,8002,NJ,,8563204648
69012,Ten Asian Food Hall,"706 Haddonfield Rd, Ste 5",Cherry Hill,8002,NJ,,8563304695
69013,Futomaki,"130 E Black Horse Pike, Ste 310",Audubon,8106,NJ,,8563492662
69014,Sushi Maki,245B Fries Mill Rd,Washington Township,8012,NJ,,8563520416
69015,Fuji Japanese Restaurant,116 Kings Hwy E,Haddonfield,8033,NJ,,8563548200
69016,Sushi King,600 Kings Hwy N,Cherry Hill,8034,NJ,,8563752245
69017,Sakura,629 Berlin-Cross Keys Rd,Sicklerville,8081,NJ,,8564049383
69018,Little Tokyo,49 Kings Hwy E,Haddonfield,8033,NJ,,8564281822
69019,Lynns Sushi,217-B S Burnt Mill Rd,Voorhees,8043,NJ,,8564289655
69020,Teriyaki Madness,"101 Route 73 S, Ste 165",Marlton,8053,NJ,,8564466239
69021,Rayaki - Cherry Hill,404 Marlton Pike E,Cherry Hill,8034,NJ,,8565208629
69022,yoshimoto 2,475 Hurffville -Cross Keys Rd,Sewell,8080,NJ,,8565333598
69023,7 Doors Down Ramen Co,273 Glenwood Ave,Bloomfield,7003,NJ,,8565439480
69024,Cherry Grill - Barclay Cafe,1301 Marlton Pike E Cherry Hill,Cherry Hill,8034,NJ,,8564286666
69025,Sushi To Go,108 White Horse Rd,Voorhees Township,8043,NJ,,8565660588
69026,Osushi Japanese Restaurant,101 Rt 73 S Marlton Crossing Shopping Ctr Marlton,Marlton,8053,NJ,,8565744960
69027,Yama Japan,415 Egg Harbor Rd,Sewell,8080,NJ,,8565823611
69028,Tomo Sushi Japanese Restaurant,806 Delsea Dr N,Glassboro,8028,NJ,,8565826699
69029,Yokohama Japanese Restaurant,300 S Lenola Rd,Maple Shade,8052,NJ,,8566088812
69030,Wild Ginger,657 Cross Keys Rd,Sicklerville,8081,NJ,,8566296988
69031,Sakura,47 S Centre St,Merchantville,8109,NJ,,8566610188
69032,Kabuki Japanese Cuisine,929 Haddonfield Rd,Cherry Hill,8002,NJ,,8566619599
69033,Mikado Japanese Restaurant,2320 Marlton Pike W,Cherry Hill,8002,NJ,,8566654411
69034,Sushi Express,"1004 Cooper St, Ste 6",Deptford,8096,NJ,,8566869999
69035,Yoshimoto Japanese Steakhouse,3501 Rte 42,Blackwood,8012,NJ,,8567400021
69036,Umi Japanese Cuisine,11 N White Horse Pike,Somerdale,8083,NJ,,8567838868
69037,Oki Maki,"910 Haddonfield-Berlin Rd, Ste 7",Voorhees Township,8043,NJ,,8567839898
