Snowball_ID,Date,Event name,Sessions
65905,20230614,session_start,3
65905,20230614,user_engagement,3
65701,20230605,first_visit,1
65701,20230605,form_start,1
65701,20230605,page_view,1
65701,20230605,session_start,1
65697,20230617,first_visit,1
65697,20230617,page_view,2
65697,20230617,scroll,1
65697,20230617,session_start,2
65530,20230615,click,1
65530,20230615,first_visit,1
65530,20230615,page_view,1
65530,20230615,scroll,1
65530,20230615,session_start,1
65220,20230601,first_visit,1
65220,20230601,page_view,1
65220,20230601,scroll,1
65220,20230601,session_start,1
65220,20230601,video_complete,1
65220,20230601,video_progress,1
65220,20230601,video_start,1
65209,20230613,first_visit,1
65209,20230613,page_view,1
65209,20230613,session_start,1
65099,20230613,AnyFormSubmit,1
65099,20230613,Any_Form-Submit,1
65099,20230613,first_visit,1
65099,20230613,form_start,1
65099,20230613,page_view,1
65099,20230613,scroll,1
65099,20230613,session_start,1
65099,20230613,user_engagement,1
64945,20230607,first_visit,1
64945,20230607,page_view,1
64945,20230607,session_start,1
64945,20230603,first_visit,3
64945,20230603,page_view,4
64945,20230603,session_start,4
64945,20230602,first_visit,1
64945,20230602,page_view,4
64945,20230602,session_start,2
64945,20230602,first_visit,1
64945,20230602,page_view,1
64945,20230602,session_start,1
64945,20230601,first_visit,1
64945,20230601,page_view,1
64945,20230601,session_start,1
64865,20230607,first_visit,2
64865,20230607,page_view,2
64865,20230607,scroll,2
64865,20230607,session_start,2
64841,20230615,first_visit,2
64841,20230615,page_view,2
64841,20230615,scroll,2
64841,20230615,session_start,2
64841,20230615,user_engagement,2
64814,20230610,first_visit,1
64814,20230610,page_view,1
64814,20230610,scroll,1
64814,20230610,session_start,1
64814,20230610,video_complete,1
64814,20230610,video_progress,1
64814,20230610,video_start,1
64689,20230601,page_view,1
64689,20230601,first_visit,1
64689,20230601,page_view,1
64689,20230601,session_start,1
64585,20230601,first_visit,2
64585,20230601,page_view,2
64585,20230601,scroll,2
64585,20230601,session_start,2
64570,20230622,Phone_Number_Click,1
64570,20230622,click,1
64570,20230622,session_start,2
64570,20230622,user_engagement,2
64570,20230621,Phone_Number_Click,1
64570,20230621,click,1
64570,20230621,first_visit,1
64570,20230621,page_view,1
64570,20230621,session_start,1
64570,20230614,first_visit,2
64570,20230614,page_view,2
64570,20230614,scroll,2
64570,20230614,session_start,2
64570,20230614,user_engagement,2
64570,20230613,AnyFormSubmit,1
64570,20230613,Any_Form-Submit,1
64570,20230613,first_visit,1
64570,20230613,form_start,1
64570,20230613,page_view,1
64570,20230613,session_start,1
64570,20230613,user_engagement,1
64548,20230601,first_visit,1
64548,20230601,page_view,1
64548,20230601,scroll,1
64548,20230601,session_start,1
64497,20230607,AnyFormSubmit,1
64497,20230607,Any_Form-Submit,1
64497,20230607,first_visit,1
64497,20230607,form_start,1
64497,20230607,page_view,1
64497,20230607,session_start,1
