brizo_id,count
0101dfc844e860ba,3
01030f07b6746766,12
0104c91682e91388,5
010526420d64df42,21
010710d186ce5cd7,1
010738a15493a3e1,21
0107517d0a78a5ae,16
010778dcde1b1193,1
0107c56205312ad1,17
010892675719f295,16
0108d178cffa4c36,13
0108f0863dd33f8e,11
010ab98ce63110a9,6
010b3360df1bb6ef,9
010b895239b74757,5
010b898a7f1d0909,20
010bdd13f002e354,3
010bff8933cb784f,8
010c6dba1d08001c,8
010cf7cb34b44966,4
010d9d3bbc1fd219,18
010da598b92395d6,2
010dd2f72a534963,3
010ddde1cdee9194,11
010e1c0eb6663cc3,6
010ec42de71884a0,21
011057911aea6239,7
01108488004d1caf,21
0110addb3c6ca188,19
0110efd52d8e1254,18
01110c356f1c8fc6,17
011138ecfe34d9a3,3
01120cb038f48f87,1
01123edd4dd88d34,9
011241eb41049292,3
011246cca2a66bef,12
01126969831ab1a2,5
0112bea75d349991,3
011302d9c79984b9,21
01137c9e35d354c3,3
011399deb623b656,21
0113dde85755865d,18
0114b341d3e9848c,12
011554c2d04bf515,3
01157c6757b8e723,10
011608ad2843b57b,5
01163b1321f5e6a0,2
01164d989dac3540,8
01166c35e2aa5a2b,6
01169ad299a2426d,7
0116d6589821b869,21
01190d848189d120,20
011a2fa741ea54b8,2
011a3323ff6a85d9,3
011a9691de7c2cf3,5
011bb60d7ba780c5,17
011c5d846c470999,9
011cd0c4af7695b8,21
011d2e78fc41a0ed,8
011efd6898bc19a7,8
011f95649b6bf645,6
0120b23eac7dff16,1
0121657e4047cfb2,9
012173406283d2ba,4
012295609b944a68,6
012398efd2f6b7fa,1
0124b05903ca5320,14
0124d99891c0f07f,2
0124f394fc0728bd,15
0126b98b4ebcc107,16
0127d73edd00b94f,5
01288966e3d85f37,21
012899a82b0bd2ac,2
0129077dbb39e688,3
012978a1c56ce277,3
012991546cfe71c9,21
012c61b2b90551f9,3
012ce54ace7bf774,10
012d5656d583fa9e,3
012e99c2622281b6,18
012f70f223591603,9
0131f07438fbfa89,20
0132936e902bcd89,16
01332bb99e558903,5
01335fd3ee402df4,7
013480a05e4d08b5,1
0134b77e15a92e15,19
0135f64ab81aeaf8,8
0136824e4194c240,2
0136939c068553be,20
0137d680701c1151,20
0138008c287da0d2,4
0138acf87115183b,4
01397d96d6c417c7,5
0139c4397cb266d8,6
0139c441c2e25cf9,20
013b3eb5792846ba,3
013baaf0b00a6724,3
013bc91e5dd8b235,18
013dd6fa88e9c490,2
013e2538f50598d5,18
013e872b9d827ec3,20
013f8e8a7a56148f,5
0140b065dd14926a,20
0140d7bacdf8044a,2
014170df2c999a98,8
0142617f2c113d67,17
014312355b8d6747,15
01447c44a1033786,18
0144c0ae20f45b50,1
0144f13b6f7fa2f9,15
0144f2657c899b9a,6
014517f346ea755d,5
0145804a590b78d0,3
014612c8cd087575,9
014639443163a5c6,2
014644dd7e9c11cb,3
01466f4a3a9bf903,20
01477c5172bc3122,18
01478c3414f9af2b,6
0148499ab534b74b,6
0148a9a18167ccb1,3
0148d9cd428af802,17
01493c180f9cb7be,7
014a4c831f92d472,8
014b157ca7187bde,7
014b34c00861aa3a,21
014c9f6d59e3dacf,17
014d9c4c8ee1bc75,13
014e310d1bf4c8ce,1
014e43727fe038ed,17
014f7ca17ced5a25,3
01509036ebaba65e,2
0150d5995608d972,4
015208243ca5541f,10
01521d2d374a85f3,6
01533991443c2e52,18
01545b48279d3b69,13
015503e8dcb8b127,3
01554e6c33b1c9d2,4
01555ddfeabfc097,9
01562614ec0a62c5,3
015694ad27a660d8,17
0156f0dac78e7bad,1
015783a429c7702a,2
01578c70629ad497,3
0158a84dd184f8fe,14
01599b9b2c91e2c8,3
015a15418a236d16,3
015ab178718cc224,12
015b1a14a1735e36,17
015ca68dfbdfaf92,3
015cfb519841b782,10
015da924c2242a1e,3
015e7cae7bbedddb,11
015e97a9b4af1c56,7
015ecfeb4387cfb6,6
015f6d32f501ce92,6
015f80566ca5541b,3
015fe2425bfd9501,5
01628c23e0ee53a4,20
016501d391538a55,3
016593e701685afd,15
0165ccc19112a66d,21
016638e239aebf40,17
016779eb778d436d,2
0167cb601e42794a,15
0167d1d753fc3683,3
016866b7e9824fcb,16
0168efa648b1b35a,20
016b0bfecd3a9989,8
016bb2d688b226e9,11
016c069f403b4af2,1
016c4ee232d47c87,1
016d1876485883d1,17
016d55d204293adf,3
016db455a9094fe3,6
016ddc626677de8a,11
016e1636443fbbfb,20
016e447b3cbc779b,12
016f524847de722f,21
016fb3499834cf46,6
0171180799d06c3a,3
01721519dc9db1d3,4
01727a29c8cb0ed1,1
01737e017687534f,1
0174543aaf2d4ea5,17
0174cbb039baa6b5,21
01767ecbdc0299ae,10
0176d2d3be807682,1
0176ebbe60fd58bd,1
0177087db922e0a2,6
0178a072bda2e9dc,15
017918d58a975198,4
017980a0caf9a615,17
0179f00ed40530cc,21
017d662a2df2dddb,7
017da91d74425441,6
017ecced6af7f048,14
017edf9107b051ac,8
017efcf9cf788983,8
017f633526857cc7,15
018142c94f0aa558,20
0181de2b2b37f59e,3
0181eb6f359bad56,20
01835bd0017abc10,20
0183a07214a8ba6b,17
0184600aa3db4653,4
01863af6d02cf340,14
018686941fe410d9,17
01895c895ade6b51,17
0189d047ebcde4c8,11
018a247c43a23296,1
018ad14d5dc1051e,5
018bc94acc31a69e,14
018c53fec737e37b,1
018d3f44b9575c3e,17
018d46f0763fb872,17
018d7b155ca119ab,10
018daedc5abc33ec,6
018f27120fe3853f,6
018f33e8d77cf004,3
018f7fa2c4da7cad,21
019030c02d8e67c0,17
0191178d9f22f72d,1
01918562f314e045,3
0191c5f8e475fbfb,18
0192955bac92a978,21
01930e43d6c1d025,21
01933d408114952b,18
019394bdacc46d4b,6
0194c401050519a9,21
019566b92322fde4,14
0195cfdcc892842c,1
0195db007fb8f31a,12
