Page location,Date,Sessions,Total users
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=22646,20240405,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=22730,20240406,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=23036,20240414,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=24152,20240330,2,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=25134,20240405,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=25217,20240320,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=26086,20240320,2,2
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=27637,20240320,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=28246,20240414,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=28669,20240404,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=29569,20240403,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=29790,20240427,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=30631,20240404,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=30639,20240404,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=30639,20240418,2,2
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=31535,20240408,4,4
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=31535,20240418,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=33458,20240318,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=34400,20240415,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=34678,20240425,2,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=34829,20240404,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=36330,20240408,1,1
https://getskt.com/2024apr-sms-v2/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=sms&utm_id=36786,20240406,2,2
https://getskt.com/2024apr-sms-v5/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=sms&utm_id=61204,20240404,1,1
https://getskt.com/2024apr-sms-v5/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=sms&utm_id=61375,20240404,1,1
https://getskt.com/2024apr-sms-v5/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=sms&utm_id=62503,20240409,1,1
https://getskt.com/2024apr-sms-v5/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=sms&utm_id=62627,20240320,2,2
https://getskt.com/2024apr-sms-v5/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=sms&utm_id=62797,20240405,1,1
https://getskt.com/2024apr-sms-v5/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=sms&utm_id=63616,20240401,1,1
https://getskt.com/2024apr-sms-v5/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=sms&utm_id=63616,20240402,1,1
https://getskt.com/2024apr-sms-v5/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=sms&utm_id=63784,20240320,1,1
https://getskt.com/2024apr-sms-v5/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=sms&utm_id=63888,20240403,1,1
https://getskt.com/2024apr-sms-v5/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=sms&utm_id=63888,20240404,1,1
https://getskt.com/2024apr-sms-v5/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=sms&utm_id=63889,20240405,1,1
https://getskt.com/2024apr-sms-v5/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=sms&utm_id=64187,20240410,1,1
https://getskt.com/2024apr-sms-v5/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=sms&utm_id=64411,20240408,1,1
https://getskt.com/2024apr-sms-v5/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=sms&utm_id=64485,20240320,1,1
https://getskt.com/2024apr-sms-v5/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=sms&utm_id=64623,20240320,1,1
https://getskt.com/2024apr-sms-v5/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=sms&utm_id=65097,20240409,1,1
https://getskt.com/2024apr-sms-v5/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=sms&utm_id=65444,20240405,1,1
https://getskt.com/2024apr-sms-v5/?utm_source=WLQ&utm_medium=DirectMail&utm_campaign=sms&utm_id=65929,20240405,2,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=,20240408,2,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=,20240410,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=10004,20240410,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=10205,20240320,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=11371,20240320,2,2
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=11668,20240402,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=11668,20240403,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=11887,20240404,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=11914,20240330,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=12208,20240401,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=1241,20240415,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=13563,20240402,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=14054,20240321,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=14547,20240402,2,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=1462,20240421,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=14972,20240404,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=16319,20240405,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=17367,20240401,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=17392,20240403,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=17911,20240321,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=18189,20240403,1,1
https://getskt.com/2024apr-trail-v1/?utm_source=brizoUS&utm_medium=DirectMail&utm_campaign=trail&utm_id=18457,20240318,2,2
