orders_created_at_est_year,orders_created_at_est_day,orders_total_order_count
2017,02-14,5146
2017,01-29,4657
2017,11-04,7863
2017,01-31,4910
2017,02-07,4280
2017,12-23,7789
2017,04-15,5514
2017,10-15,5652
2017,12-12,6040
2017,05-13,6376
2017,08-09,5784
2017,08-05,6426
2017,09-24,5385
2017,09-17,5384
2017,06-06,5279
2017,10-31,6219
2017,09-27,6125
2017,04-27,5718
2017,06-20,5021
2017,06-11,4641
2017,10-01,5898
2017,03-18,6685
2017,12-29,10274
2017,08-22,5519
2017,05-27,5552
2017,05-15,4209
2017,03-03,8060
2017,04-10,4594
2017,08-07,5623
2017,04-28,7241
2017,10-17,5536
2017,06-09,7072
2017,02-24,7483
2017,05-01,5193
2017,09-07,6206
2017,11-17,9244
2017,04-06,6245
2017,11-12,5622
2017,10-24,5877
2017,03-14,4977
2017,09-29,9285
2017,03-13,5069
2017,09-06,5958
2017,07-14,8300
2017,07-18,5444
2017,12-05,6155
2017,10-19,6782
2017,03-02,6250
2017,05-28,4321
2017,01-15,4412
2017,02-17,7197
2017,07-16,5141
2017,07-26,5883
2017,03-15,5670
2017,03-31,8773
2017,09-19,5461
2017,07-22,6790
2017,12-02,8558
2017,02-20,4427
2017,07-08,6508
2017,06-18,4235
2017,04-20,5732
2017,03-25,6247
2017,03-11,6528
2017,01-26,5168
2017,12-24,5777
2017,10-07,7430
2017,09-20,5704
2017,08-20,5183
2017,07-24,5327
2017,04-23,4549
2017,09-22,8327
2017,12-30,8921
2017,01-08,4652
2017,09-10,4558
2017,07-13,6550
2017,02-03,7304
2017,04-12,5114
2017,03-28,5081
2017,10-30,5621
2017,06-16,7728
2017,07-25,5451
2017,07-03,5530
2017,02-06,3797
2017,03-24,7225
2017,09-28,6534
2017,08-14,5180
2017,02-15,4937
2017,06-21,5586
2017,03-27,4852
2017,01-12,4905
2017,11-01,7375
2017,06-12,4707
2017,07-04,3697
2017,12-03,6380
2017,09-23,6880
2017,04-26,5062
2017,02-13,4115
2017,08-02,6730
2017,02-12,4682
2017,10-20,9069
2017,08-10,6290
2017,05-08,4559
2017,06-17,6257
2017,10-13,8773
2017,01-02,4514
2017,06-05,4835
2017,09-26,5688
2017,01-28,6018
2017,01-09,4173
2017,01-06,6808
2017,07-23,5488
2017,10-10,5328
2017,09-09,6698
2017,08-25,8831
2017,09-25,5283
2017,04-19,5144
2017,09-18,4959
2017,01-27,7171
2017,01-13,6620
2017,12-14,7171
2017,05-19,6894
2017,12-04,5884
2017,08-19,6619
2017,03-12,4732
2017,03-08,5150
2017,06-23,7825
2017,07-21,8173
2017,09-15,8125
2017,07-31,5464
2017,02-26,5226
2017,01-20,6729
2017,08-29,6287
2017,08-28,5554
2017,09-16,6866
2017,03-29,5108
2017,01-22,4356
2017,04-07,7454
2017,08-17,6427
2017,10-18,6282
2017,12-09,8505
2017,04-24,4722
2017,02-16,5664
2017,10-16,5147
2017,04-21,6865
2017,07-11,5396
2017,12-08,9521
2017,10-28,7882
2017,08-04,8234
2017,12-19,6224
2017,02-21,4504
2017,09-04,4711
2017,02-10,7186
2017,01-18,4490
2017,08-23,5994
2017,04-13,5476
2017,09-02,7417
2017,07-27,6439
2017,03-17,7070
2017,12-18,5788
2017,07-17,5073
2017,10-21,7502
2017,11-30,7506
2017,08-03,6960
2017,03-19,4793
2017,12-22,9000
2017,07-19,5917
2017,12-06,6673
2017,04-17,4247
2017,10-11,6399
2017,04-03,4988
2017,12-31,6877
2017,10-04,6400
2017,12-27,7019
2017,05-06,5985
2017,12-25,6814
2017,07-29,6564
2017,04-08,6004
2017,07-06,6029
2017,01-24,4425
2017,05-26,7177
2017,04-18,4617
2017,08-13,5077
2017,04-16,3541
2017,04-02,4825
2017,10-22,5770
2017,05-05,7518
2017,09-13,5906
2017,02-11,5743
2017,05-10,4933
2017,03-30,5961
2017,07-10,5245
2017,11-11,7716
2017,05-03,5399
2017,05-16,4291
2017,02-23,6098
2017,05-18,5220
2017,10-05,6982
2017,04-05,5264
2017,04-04,5165
2017,04-25,5271
2017,10-12,6563
2017,01-14,5660
2017,04-09,4405
2017,12-10,5893
2017,01-21,5657
2017,11-05,6100
2017,06-07,5451
2017,02-05,3783
2017,02-27,4865
2017,11-27,5683
2017,02-04,5986
2017,11-06,5566
2017,03-22,5300
2017,03-07,4811
2017,12-16,7803
2017,09-03,5536
2017,11-16,6886
2017,02-28,5233
2017,12-13,6915
2017,03-20,4681
2017,01-01,5282
2017,08-06,4912
2017,06-24,6142
2017,01-10,4280
2017,03-05,4715
2017,06-30,8689
2017,06-02,8005
2017,12-20,6772
2017,08-01,6266
2017,06-19,5150
2017,09-11,4830
2017,11-03,9593
2017,09-08,8025
2017,01-19,5062
2017,12-15,9852
2017,11-13,5491
2017,11-26,5699
2017,01-17,4130
2017,09-12,5329
2017,06-15,5822
2017,06-27,5360
2017,11-07,6448
2017,02-19,4510
2017,01-05,5139
2017,06-01,6152
2017,07-20,6330
2017,06-14,5339
2017,09-01,9172
2017,01-11,4567
2017,12-17,6214
2017,10-03,6110
2017,11-14,5648
2017,04-30,5154
2017,09-05,5240
2017,06-08,5641
2017,02-02,5469
2017,06-04,5231
2017,11-22,7739
2017,12-07,7256
2017,04-11,4660
2017,11-29,6845
2017,04-22,6483
2017,11-24,4631
2017,03-04,6774
2017,06-25,4883
2017,06-29,6359
2017,08-18,8970
2017,05-24,5260
2017,04-14,6092
2017,07-01,7219
2017,12-26,5472
2017,10-25,6344
2017,10-29,6694
2017,08-12,6518
2017,03-23,5526
2017,08-15,5692
2017,01-23,4486
2017,05-02,5031
2017,12-21,7466
2017,01-07,6476
2017,10-27,9173
2017,11-08,6367
2017,10-08,5863
2017,02-18,5804
2017,11-25,6235
2017,06-03,6324
2017,11-10,9543
2017,08-31,6949
2017,03-16,5844
2017,02-22,5354
2017,08-21,5501
2017,06-10,5746
2017,10-09,5504
2017,03-26,5036
2017,07-05,5394
2017,11-18,8074
2017,11-15,6415
2017,02-01,5394
2017,04-01,6714
2017,10-23,5381
2017,06-22,5582
2017,01-04,4770
2017,09-21,6379
2017,05-21,4805
2017,07-12,6000
2017,11-20,5690
2017,01-25,4464
2017,10-26,7016
2017,10-02,5582
2017,02-09,5645
2017,08-30,6229
2017,05-20,5717
2017,01-30,4420
2017,07-28,8066
2017,08-24,6612
2017,06-28,5539
2017,03-09,5399
2017,11-02,7515
2017,05-12,7006
2017,05-11,5419
2017,05-23,4854
2017,03-21,4871
2017,08-16,5931
2017,08-26,6571
2017,08-27,5509
2017,03-10,7537
2017,01-03,4550
2017,12-11,5476
2017,04-29,6227
2017,05-29,4098
2017,03-01,6114
2017,02-08,4516
2017,06-13,5181
2017,12-28,7938
2017,09-14,6526
2017,11-19,5872
2017,02-25,6893
2017,01-16,4006
2017,11-21,6053
2017,11-28,5958
2018,09-11,7593
2018,04-01,5976
2018,05-03,8895
2018,10-03,9743
2018,04-02,6471
2018,12-20,12908
2018,03-04,7040
2018,02-02,11078
2018,03-08,8472
2018,07-10,6914
2018,09-26,8740
2018,12-25,12869
2018,01-06,8484
2018,11-30,17537
2018,08-10,10617
