UNIQUE_CODE,ENGLISH_NAME,GMV_LEVEL_VOICE_PLATFORM,GMV_MONTHLY_AVERAGE_VOICE_PLATFORM_USD,STATE_CODE,ZIP_CODE,REGION,CREATED_AT,STATUS,CUISINE_TYPE (Internal),First Seen (Brizo),Population,Population Band,Population Density,Population Density Band,Median Household Income,Median Income Band,School Zone Rating
R88567,CHINA DRAGON,"2. $10,000 to $29,999","$24,463",CT,6424,Northeast,2017-08-02T13:59:49Z,active,unknown,2019,12744,"5,001 - 20,000",122.2,101 - 500,NA,NA,B+
R86281,HUNG SANG,"2. $10,000 to $29,999","$29,395",NJ,7087,Northeast,2023-10-12T18:13:09Z,active,chinese,2019,68256,"50,001+",20359.6,"20,001+",NA,NA,C+
R83853,^CATHAY HOUSE^,"1. < $10,000","$9,733",TX,76710,Southwest,2022-11-06T21:36:23Z,active,unknown,2019,24837,"20,201 - 50,000",1008.1,"501 - 5,000","$49,762","$1 - $60,000",B-
R82965,^CHINA EXPRESS^,"2. $10,000 to $29,999","$15,120",SC,29924,Southeast,2022-03-24T19:27:04Z,active,chinese,2019,4189,"1 - 5,000",30.2,1 - 100,"$46,006","$1 - $60,000",C+
R83032,MAY LOONG,"1. < $10,000","$4,225",NY,11791,Northeast,2022-04-22T22:03:31Z,active,chinese,2019,26135,"20,201 - 50,000",777.8,"501 - 5,000","$190,347","$150,001 - $250,000",A+
R82063,*RED APPLE*,"3. $30,000 to $49,999","$41,633",NJ,7202,Northeast,2021-09-28T19:24:49Z,active,chinese,2019,41671,"20,201 - 50,000",6946.1,"5,001 - 20,000",NA,NA,C+
R83117,*CHINA LIN*,"2. $10,000 to $29,999","$21,323",IL,62234,Midwest,2022-06-01T23:39:18Z,active,chinese,2019,32474,"20,201 - 50,000",341.4,101 - 500,"$63,527","$60,000 - $100,000",B
R85596,*NEW FORTUNE*,"2. $10,000 to $29,999","$24,697",NY,11001,Northeast,2023-05-18T19:25:45Z,active,chinese,NA,28021,"20,201 - 50,000",4851.6,"501 - 5,000","$145,325","$100,001 - $150,000",A-
R85056,SZECHUAN GARDEN,"3. $30,000 to $49,999","$44,319",PA,15601,Northeast,2023-01-03T04:56:04Z,active,chinese,2019,56955,"50,001+",255.1,101 - 500,"$71,134","$60,000 - $100,000",B+
R83686,*CHINA KING*,"2. $10,000 to $29,999","$17,388",NY,14590,Northeast,2022-09-24T21:14:12Z,active,chinese,2019,5316,"5,001 - 20,000",30.4,1 - 100,"$59,531","$1 - $60,000",C+
R88751,CHINA FUN,"2. $10,000 to $29,999","$15,209",MD,21215,Northeast,2018-09-05T14:40:39Z,active,unknown,2019,58283,"50,001+",3302.9,"501 - 5,000","$49,523","$1 - $60,000",C-
R82729,GOLDEN RICE BOWL,"2. $10,000 to $29,999","$12,401",NJ,7205,Northeast,2022-01-04T00:59:32Z,active,chinese,2019,21928,"20,201 - 50,000",3074,"501 - 5,000",NA,NA,C
R82578,*SUNNY CHINA*,"1. < $10,000","$8,935",TN,37174,Southeast,2021-11-28T16:09:16Z,canceled,unknown,2019,37004,"20,201 - 50,000",208.3,101 - 500,"$96,200","$60,000 - $100,000",B
R85958,^CHINA STAR^,"3. $30,000 to $49,999","$36,822",DE,19973,Northeast,2023-08-08T15:48:44Z,active,unknown,2022,24745,"20,201 - 50,000",121.5,101 - 500,"$61,849","$60,000 - $100,000",C+
R81598,NO.1 KITCHEN,"4. $50,000 - $99,999 ","$50,413",WV,25705,Southeast,2021-04-20T16:36:36Z,active,unknown,2019,21231,"20,201 - 50,000",684.9,"501 - 5,000","$56,928","$1 - $60,000",B
R86615,*WAI WAI HOUSE*,"2. $10,000 to $29,999","$24,427",RI,2905,Northeast,2023-12-04T20:40:36Z,suspended,chinese,2019,26174,"20,201 - 50,000",2747.1,"501 - 5,000",NA,NA,C-
R85561,*GREAT WALL*,"1. < $10,000","$7,849",OH,43130,Midwest,2023-05-03T04:37:10Z,suspended,chinese,2019,61565,"50,001+",146.8,101 - 500,"$64,691","$60,000 - $100,000",C+
R88179,*KINGS CHEF*,"2. $10,000 to $29,999","$29,213",NY,10459,Northeast,2016-01-01T05:00:00Z,active,unknown,2019,48780,"20,201 - 50,000",22962.7,"20,001+","$41,270","$1 - $60,000",B+
R81113,*FUN WOK*,,$0,MD,21236,Northeast,2019-12-17T17:36:46Z,canceled,unknown,NA,39707,"20,201 - 50,000",1789.5,"501 - 5,000","$91,855","$60,000 - $100,000",NA
R83938,*HUNAN VILLAGE*,"3. $30,000 to $49,999","$33,908",VA,22572,Southeast,2022-12-02T21:58:47Z,active,chinese,2019,7227,"5,001 - 20,000",20.1,1 - 100,"$63,854","$60,000 - $100,000",B
R81861,GREAT WALL,"2. $10,000 to $29,999","$17,378",KY,40206,Southeast,2021-08-07T16:28:21Z,active,chinese,2019,19693,"5,001 - 20,000",1329.2,"501 - 5,000","$69,241","$60,000 - $100,000",B-
R86509,ASIAN GARDEN,"1. < $10,000","$5,451",NJ,8904,Northeast,2023-11-11T18:33:54Z,active,chinese,2019,13883,"5,001 - 20,000",2943.5,"501 - 5,000",NA,NA,A
R88638,*GOLDEN KITCHEN*,"3. $30,000 to $49,999","$39,655",IL,61604,Midwest,2018-03-04T18:45:36Z,active,unknown,2019,29606,"20,201 - 50,000",724.1,"501 - 5,000","$49,740","$1 - $60,000",C+
R88829,*KIKI'S KITCHEN*,"2. $10,000 to $29,999","$11,104",MA,1420,Northeast,2018-12-24T01:06:00Z,canceled,unknown,NA,40702,"20,201 - 50,000",518.4,"501 - 5,000",NA,NA,C+
R81103,*CHINA CITY*,"2. $10,000 to $29,999","$21,463",PA,17815,Northeast,2019-11-23T00:34:49Z,active,unknown,2019,29764,"20,201 - 50,000",84.7,1 - 100,"$61,336","$60,000 - $100,000",B+
R86259,HONG KONG RESTAURANT,"3. $30,000 to $49,999","$42,773",NJ,7011,Northeast,2023-10-06T14:16:11Z,active,chinese,2019,39783,"20,201 - 50,000",4639.1,"501 - 5,000",NA,NA,B
R88736,*CHEF MING'S KITCHEN*,"1. < $10,000",$0,CA,90211,West,2018-08-30T14:40:39Z,canceled,unknown,2019,8019,"5,001 - 20,000",4420.7,"501 - 5,000","$115,025","$100,001 - $150,000",A+
R85262,*DRAGON CITY*,"3. $30,000 to $49,999","$40,224",VA,23703,Southeast,2023-03-07T05:39:10Z,active,chinese,2019,26655,"20,201 - 50,000",737.2,"501 - 5,000","$72,822","$60,000 - $100,000",C+
R85XXX,MAIN GARDEN 2,,$0,NJ,7055,Northeast,2023-08-05T18:49:15Z,canceled,unknown,NA,70090,"50,001+",8625.6,"5,001 - 20,000",NA,NA,NA
R85507,*^CHEF KENNYS VEGAN CAFE^*,"1. < $10,000",$370,NV,89146,West,2023-04-20T09:24:29Z,active,unknown,NA,18695,"5,001 - 20,000",1504.7,"501 - 5,000","$57,581","$1 - $60,000",B-
R82978,GOLDEN WOK,"2. $10,000 to $29,999","$12,546",NY,10014,Northeast,2022-03-29T16:37:23Z,suspended,chinese,2019,30344,"20,201 - 50,000",21312.8,"20,001+","$147,267","$100,001 - $150,000",B+
R82022,*FIRE WOK*,"1. < $10,000","$5,368",NY,11520,Northeast,2021-09-18T20:13:08Z,active,chinese,2021,43438,"20,201 - 50,000",3343.5,"501 - 5,000","$110,152","$100,001 - $150,000",B
R85956,^CHINA 88^,"2. $10,000 to $29,999","$14,107",GA,30213,Southeast,2023-08-08T15:29:07Z,active,chinese,2019,33926,"20,201 - 50,000",204.5,101 - 500,"$83,756","$60,000 - $100,000",C-
R81335,*BEIJING CAFE*,"1. < $10,000","$9,949",FL,33141,Southeast,2020-11-08T20:30:37Z,suspended,unknown,2019,39768,"20,201 - 50,000",6610.2,"5,001 - 20,000","$61,205","$60,000 - $100,000",A-
R86329,*^NEW PEARL 88^*,,$0,MS,38614,Southeast,2023-10-21T20:21:42Z,onboarding,unknown,NA,17812,"5,001 - 20,000",27.7,1 - 100,"$36,225","$1 - $60,000",NA
R81336,TASTE OF CHINA,"2. $10,000 to $29,999","$26,166",NC,27522,Southeast,2020-11-13T16:06:33Z,canceled,unknown,2019,12552,"5,001 - 20,000",67,1 - 100,"$71,477","$60,000 - $100,000",C+
R86356,*KING YEN*,"2. $10,000 to $29,999","$13,935",MA,1001,Northeast,2023-10-25T18:52:06Z,suspended,chinese,2019,17312,"5,001 - 20,000",581,"501 - 5,000",NA,NA,B
R85862,*CHINA STAR*,"1. < $10,000",$0,NJ,7083,Northeast,2023-07-24T20:07:33Z,suspended,chinese,2019,55162,"50,001+",2460.7,"501 - 5,000",NA,NA,B
R86802,^IZUMI HIBACHI EXPRESS^,"1. < $10,000","$8,910",MN,55076,Midwest,2024-01-08T19:01:40Z,active,japanese,2019,21985,"20,201 - 50,000",929.1,"501 - 5,000","$92,946","$60,000 - $100,000",B+
R83269,JOY KITCHEN,"3. $30,000 to $49,999","$41,771",CT,6513,Northeast,2022-07-19T00:32:48Z,active,unknown,2019,40037,"20,201 - 50,000",2135.4,"501 - 5,000",NA,NA,C-
R85708,*CHINA WOK*,"4. $50,000 - $99,999 ","$50,224",ME,4401,Northeast,2023-06-19T18:48:35Z,active,chinese,2022,44536,"20,201 - 50,000",171.6,101 - 500,NA,NA,B+
R83927,*^PEONY ASIAN BISTRO^*,"2. $10,000 to $29,999","$19,228",NC,27707,Southeast,2022-11-30T21:27:10Z,active,Chinese,2019,51414,"50,001+",932.3,"501 - 5,000","$69,579","$60,000 - $100,000",B+
R81767,HAPPY GARDEN,"3. $30,000 to $49,999","$37,024",OK,73069,Southwest,2021-07-16T15:05:42Z,active,unknown,2019,25149,"20,201 - 50,000",612.1,"501 - 5,000","$54,194","$1 - $60,000",A
R82516,LEE'S KITCHEN,"2. $10,000 to $29,999","$16,093",TX,78148,Southwest,2021-11-09T18:04:35Z,active,chinese,2019,22364,"20,201 - 50,000",916.3,"501 - 5,000","$71,368","$60,000 - $100,000",B+
R82708,GOLDEN RICE BOWL,"2. $10,000 to $29,999","$14,555",FL,33319,Southeast,2021-12-30T21:28:52Z,active,chinese,2019,46786,"20,201 - 50,000",2595.5,"501 - 5,000","$53,705","$1 - $60,000",B
R85107,^ASIAN CAFE^,"2. $10,000 to $29,999","$20,026",MD,21701,Northeast,2023-01-18T05:07:49Z,active,unknown,2019,37017,"20,201 - 50,000",367.1,101 - 500,"$97,769","$60,000 - $100,000",A-
R83056,^CJ CHAN^,"2. $10,000 to $29,999","$21,229",OH,45420,Midwest,2022-04-26T21:16:48Z,active,Chinese,2019,25179,"20,201 - 50,000",1568.9,"501 - 5,000","$54,425","$1 - $60,000",B
R86311,*CHINA A GO GO HUALAPAI*,"1. < $10,000",$0,NV,89149,West,2023-10-19T21:42:31Z,active,chinese,2019,39613,"20,201 - 50,000",1273.3,"501 - 5,000","$96,454","$60,000 - $100,000",B-
R88757,HAPPY GARDEN,"2. $10,000 to $29,999","$10,451",NY,10456,Northeast,2018-09-19T15:07:12Z,active,unknown,NA,92717,"50,001+",35177.8,"20,001+","$33,317","$1 - $60,000",B+
R81582,*MAGIC WOK*,"1. < $10,000","$3,369",WA,98023,West,2021-04-08T17:34:53Z,canceled,unknown,2019,50201,"50,001+",1876,"501 - 5,000","$98,057","$60,000 - $100,000",B-
R88293,^HOLA HALAL^,"2. $10,000 to $29,999","$15,339",NJ,7501,Northeast,2016-05-23T18:01:05Z,active,unknown,2019,32432,"20,201 - 50,000",6820.9,"5,001 - 20,000",NA,NA,C-
R88773,KING'S WOK FRANKLIN,"2. $10,000 to $29,999","$15,099",WI,53132,Midwest,2018-10-11T15:07:12Z,active,unknown,NA,35782,"20,201 - 50,000",397.2,101 - 500,"$103,225","$100,001 - $150,000",A
R83065,^DOUBLE DRAGON KITCHEN^,"2. $10,000 to $29,999","$24,596",NY,11554,Northeast,2022-05-01T18:46:56Z,canceled,unknown,NA,38029,"20,201 - 50,000",2349.5,"501 - 5,000","$129,268","$100,001 - $150,000",A+
R85772,AH LAW KITCHEN,"2. $10,000 to $29,999","$19,440",NY,11003,Northeast,2023-07-02T19:18:48Z,active,chinese,2019,44572,"20,201 - 50,000",4144.6,"501 - 5,000","$119,448","$100,001 - $150,000",A
R81728,^CHEN'S KITCHEN^,"3. $30,000 to $49,999","$33,093",MD,21286,Northeast,2021-07-09T19:11:58Z,active,unknown,2019,19849,"5,001 - 20,000",898.4,"501 - 5,000","$92,722","$60,000 - $100,000",B+
R82031,FOOD KING,"1. < $10,000","$8,377",IN,46240,Midwest,2021-10-06T21:29:43Z,active,unknown,2019,19785,"5,001 - 20,000",778.3,"501 - 5,000","$63,317","$60,000 - $100,000",A-
R85552,^CHINA LILY^,"1. < $10,000","$7,821",GA,30294,Southeast,2023-04-30T12:45:34Z,active,chinese,2019,42484,"20,201 - 50,000",507,"501 - 5,000","$73,608","$60,000 - $100,000",C
R86883,*^KOI^*,"1. < $10,000",$0,KY,42420,Southeast,2024-01-25T14:29:21Z,active,japanese,2019,38066,"20,201 - 50,000",78,1 - 100,"$55,423","$1 - $60,000",B+
R85211,*SZECHUAN KITCHEN*,"2. $10,000 to $29,999","$16,739",NY,11427,Northeast,2023-02-17T06:53:12Z,suspended,chinese,2019,24560,"20,201 - 50,000",5997.9,"5,001 - 20,000","$84,691","$60,000 - $100,000",B+
R88607,*NEW ASIAN CUISINE*,"2. $10,000 to $29,999","$19,802",NY,11377,Northeast,2017-12-22T15:45:48Z,active,unknown,2019,83825,"50,001+",12758.9,"5,001 - 20,000","$72,273","$60,000 - $100,000",B+
R83732,MEI JIA,"2. $10,000 to $29,999","$18,296",GA,31322,Southeast,2022-10-09T19:03:17Z,active,chinese,2019,26126,"20,201 - 50,000",346.4,101 - 500,"$90,019","$60,000 - $100,000",C
R88636,^SAKURA STEAK HOUSE^,"2. $10,000 to $29,999","$26,562",NC,28326,Southeast,2018-02-26T22:49:54Z,active,unknown,NA,24217,"20,201 - 50,000",80.4,1 - 100,"$78,270","$60,000 - $100,000",B-
R83733,EAST MEETS WEST,"2. $10,000 to $29,999","$18,541",NY,11374,Northeast,2022-10-08T16:05:42Z,active,chinese,2019,43507,"20,201 - 50,000",17812.4,"5,001 - 20,000","$86,006","$60,000 - $100,000",B+
R82591,*CHINA WOK*,"3. $30,000 to $49,999","$31,391",NJ,8093,Northeast,2022-07-14T22:41:25Z,active,chinese,2019,9310,"5,001 - 20,000",770,"501 - 5,000",NA,NA,B
R83675,*RED PEPPER*,"3. $30,000 to $49,999","$33,097",NC,28460,Southeast,2022-09-22T05:34:35Z,active,chinese,2019,10845,"5,001 - 20,000",120.3,101 - 500,"$79,112","$60,000 - $100,000",B-
R83532,*BEI JING RESTAURANT*,"2. $10,000 to $29,999","$10,246",FL,32809,Southeast,2022-08-16T02:15:10Z,active,chinese,2019,29095,"20,201 - 50,000",1084.5,"501 - 5,000","$50,220","$1 - $60,000",B+
R85795,CHOPSTICK KING,"2. $10,000 to $29,999","$18,355",NJ,7849,Northeast,2023-07-11T01:25:32Z,active,chinese,2019,9263,"5,001 - 20,000",485.9,101 - 500,NA,NA,B-
R85111,GREAT WALL,"1. < $10,000","$6,724",PA,18088,Northeast,2023-01-19T05:51:12Z,active,chinese,2019,8649,"5,001 - 20,000",171.9,101 - 500,"$74,545","$60,000 - $100,000",B
R85777,^SEA PARK SUSHI RESTAURANT^,"2. $10,000 to $29,999","$11,278",NJ,8226,Northeast,2023-07-04T00:38:57Z,active,japanese,NA,11132,"5,001 - 20,000",642.7,"501 - 5,000",NA,NA,A-
R85836,CHINA KITCHEN,"3. $30,000 to $49,999","$34,033",NC,27127,Southeast,2023-07-19T01:14:01Z,suspended,chinese,2019,40511,"20,201 - 50,000",525.6,"501 - 5,000","$60,235","$60,000 - $100,000",B
R83079,*GOLDEN FORTUNE*,,$0,NY,11570,Northeast,2022-05-06T18:55:50Z,canceled,unknown,2019,27234,"20,201 - 50,000",2857.8,"501 - 5,000","$149,420","$100,001 - $150,000",NA
R85921,*CHINA ONE*,"1. < $10,000","$9,305",MO,63021,Midwest,2023-08-03T16:13:56Z,canceled,chinese,2020,57112,"50,001+",1000.3,"501 - 5,000","$108,854","$100,001 - $150,000",A-
R81672,*GREAT DRAGON*,"2. $10,000 to $29,999","$27,254",NY,11232,Northeast,2021-05-25T19:19:13Z,active,unknown,2019,26430,"20,201 - 50,000",8567.8,"5,001 - 20,000","$79,599","$60,000 - $100,000",B+
R88821,PANDA,"3. $30,000 to $49,999","$42,758",PA,19094,Northeast,2018-12-17T21:00:07Z,active,unknown,2019,4060,"1 - 5,000",1954.2,"501 - 5,000","$66,514","$60,000 - $100,000",B-
R86696,*^CHINA EXPRESS^*,"1. < $10,000","$2,868",GA,30032,Southeast,2023-12-16T03:05:40Z,active,unknown,2019,47980,"20,201 - 50,000",1358.1,"501 - 5,000","$54,787","$1 - $60,000",B-
R86038,WOK 28,"2. $10,000 to $29,999","$28,062",NY,14221,Northeast,2023-08-21T18:43:03Z,active,chinese,2019,53948,"50,001+",905.4,"501 - 5,000","$96,266","$60,000 - $100,000",A+
R88971,BOLIVAR NO.1,"2. $10,000 to $29,999","$11,851",OH,44612,Midwest,2019-07-05T20:17:22Z,active,unknown,NA,5423,"5,001 - 20,000",81.5,1 - 100,"$78,967","$60,000 - $100,000",B+
R82569,CHINA,"2. $10,000 to $29,999","$13,932",KS,66538,Midwest,2021-11-14T23:23:06Z,active,chinese,2019,3482,"1 - 5,000",9.2,1 - 100,"$73,434","$60,000 - $100,000",A-
R85683,DRAGON KING,"2. $10,000 to $29,999","$24,457",NY,10472,Northeast,2023-06-09T20:57:30Z,active,chinese,2023,67948,"50,001+",24895.4,"20,001+","$40,025","$1 - $60,000",B+
R83852,BAMBOO WOK,"1. < $10,000","$5,204",FL,34114,Southeast,2022-11-05T17:38:07Z,active,chinese,2019,18223,"5,001 - 20,000",34.8,1 - 100,"$79,130","$60,000 - $100,000",B
R83391,CHINA KING,"2. $10,000 to $29,999","$12,882",MI,48066,Midwest,2022-08-12T18:26:38Z,suspended,chinese,2019,47507,"20,201 - 50,000",1860.7,"501 - 5,000","$57,274","$1 - $60,000",C
R81399,^GREAT WALL^,"2. $10,000 to $29,999","$15,488",GA,31602,Southeast,2021-01-24T23:37:50Z,active,unknown,2019,36626,"20,201 - 50,000",346.8,101 - 500,"$50,502","$1 - $60,000",B
R82739,CHINA EXPRESS,"4. $50,000 - $99,999 ","$55,681",PA,17104,Northeast,2022-01-05T17:12:51Z,canceled,chinese,2019,20208,"20,201 - 50,000",2905.5,"501 - 5,000","$43,193","$1 - $60,000",D
R83815,^FIRE WOK^,"2. $10,000 to $29,999","$26,881",FL,32065,Southeast,2022-10-28T17:40:44Z,active,Chinese,2019,37195,"20,201 - 50,000",834.7,"501 - 5,000","$91,770","$60,000 - $100,000",A
R83527,88 CHINA,"2. $10,000 to $29,999","$16,264",MO,63017,Midwest,2022-08-14T16:07:51Z,active,chinese,2019,41262,"20,201 - 50,000",813.9,"501 - 5,000","$130,604","$100,001 - $150,000",A+
R83173,^DANNY'S SUB SHOP^,"3. $30,000 to $49,999","$32,711",MD,20705,Northeast,2022-06-17T22:25:40Z,canceled,unknown,NA,27663,"20,201 - 50,000",672.6,"501 - 5,000","$102,816","$100,001 - $150,000",C
R86825,*^OISHI SUSHI^*,"1. < $10,000",$0,IL,60048,Midwest,2024-01-16T16:59:22Z,active,Chinese,2019,29033,"20,201 - 50,000",407.9,101 - 500,"$166,229","$150,001 - $250,000",A+
R82081,^CHINA KING^,"3. $30,000 to $49,999","$35,206",PA,18104,Northeast,2021-10-03T16:13:12Z,active,chinese,2019,44908,"20,201 - 50,000",750.6,"501 - 5,000","$83,861","$60,000 - $100,000",A
R81536,*CHINA GARDEN*,"2. $10,000 to $29,999","$19,914",GA,30549,Southeast,2021-03-07T21:37:37Z,active,unknown,2019,25530,"20,201 - 50,000",90.1,1 - 100,"$90,876","$60,000 - $100,000",B+
R81128,*HUNAN KING*,"2. $10,000 to $29,999","$11,390",OH,44035,Midwest,2020-01-04T22:06:29Z,active,unknown,2019,63333,"50,001+",512.1,"501 - 5,000","$51,258","$1 - $60,000",B
R82525,GREAT WIN,"4. $50,000 - $99,999 ","$53,779",NY,14622,Northeast,2021-11-14T23:26:04Z,active,chinese,2019,11939,"5,001 - 20,000",1001.9,"501 - 5,000","$71,139","$60,000 - $100,000",B
R86025,*FORTUNE RESTAURANT*,"1. < $10,000",$0,FL,33313,Southeast,2023-08-18T20:54:28Z,suspended,chinese,2019,62842,"50,001+",3772.3,"501 - 5,000","$43,282","$1 - $60,000",B
R88286,ASIAN EXPRESS,"2. $10,000 to $29,999","$13,277",OH,44132,Midwest,2016-03-21T17:01:05Z,canceled,unknown,2019,13726,"5,001 - 20,000",1685.4,"501 - 5,000","$42,771","$1 - $60,000",D
R88793,*CHENG'S GARDEN*,"2. $10,000 to $29,999","$22,782",IA,50316,Midwest,2018-11-02T15:00:48Z,suspended,unknown,2019,16520,"5,001 - 20,000",1793.8,"501 - 5,000","$51,803","$1 - $60,000",C
R88553,CHINESE RESTAURANT,"1. < $10,000",$0,NY,11218,Northeast,2017-06-23T17:48:04Z,canceled,unknown,NA,72413,"50,001+",19572.7,"5,001 - 20,000","$87,759","$60,000 - $100,000",B+
R86551,NEW CHINA,"2. $10,000 to $29,999","$25,298",NY,10538,Northeast,2023-11-19T15:19:07Z,active,chinese,2019,16302,"5,001 - 20,000",1751,"501 - 5,000","$222,589","$150,001 - $250,000",A+
R86751,*GOLDEN DRAGON EXPRESS*,"2. $10,000 to $29,999","$25,159",TX,78230,Southwest,2023-12-25T02:49:50Z,active,chinese,2019,45021,"20,201 - 50,000",1668.1,"501 - 5,000","$69,171","$60,000 - $100,000",B+
R88283,HUNAN ONE,"2. $10,000 to $29,999","$13,251",OH,44103,Midwest,2016-02-22T23:01:05Z,active,unknown,2019,15938,"5,001 - 20,000",1410.8,"501 - 5,000","$24,402","$1 - $60,000",C-
R82937,*FUJI CHINA*,"3. $30,000 to $49,999","$30,268",ND,27545,Midwest,2022-03-22T15:43:51Z,active,chinese,2019,28676,"20,201 - 50,000",381.9,101 - 500,"$81,507","$60,000 - $100,000",B+
R88131,*HAPPY GARDEN*,"3. $30,000 to $49,999","$46,869",NY,10469,Northeast,2016-01-01T05:00:00Z,active,unknown,2019,72384,"50,001+",11302.3,"5,001 - 20,000","$76,731","$60,000 - $100,000",B+
R83026,CHINA WOK,"2. $10,000 to $29,999","$26,014",NC,27522,Southeast,2022-04-16T21:27:26Z,canceled,chinese,2019,12552,"5,001 - 20,000",67,1 - 100,"$71,477","$60,000 - $100,000",C+
R85335,*CHINA A GO GO LOSEE*,"1. < $10,000","$9,756",NV,89081,West,2023-04-01T12:45:39Z,active,chinese,2019,37480,"20,201 - 50,000",1943.6,"501 - 5,000","$87,378","$60,000 - $100,000",C
R86793,*^MIZU HIBACHI & SUSHI^*,"1. < $10,000",$128,NY,10025,Northeast,2024-01-05T14:38:12Z,suspended,japanese,NA,92251,"50,001+",47387.6,"20,001+","$106,916","$100,001 - $150,000",B+
R83701,*NO 1 CHINESE FOOD*,"2. $10,000 to $29,999","$13,352",MI,48075,Midwest,2022-10-01T18:07:31Z,active,chinese,2019,21758,"20,201 - 50,000",1135.9,"501 - 5,000","$66,330","$60,000 - $100,000",C-
R85866,ASIAN STAR,"2. $10,000 to $29,999","$22,244",OH,45424,Midwest,2023-07-25T02:04:12Z,active,chinese,2019,51307,"50,001+",629.1,"501 - 5,000","$77,670","$60,000 - $100,000",C
R88221,HAPPY WOK,"2. $10,000 to $29,999","$18,154",NY,10451,Northeast,2016-01-01T05:00:00Z,canceled,unknown,NA,48136,"20,201 - 50,000",18060.2,"5,001 - 20,000","$34,316","$1 - $60,000",B+
R83703,*^HOP SING^*,"2. $10,000 to $29,999","$25,461",NJ,7601,Northeast,2022-09-30T22:08:30Z,canceled,chinese,2019,44339,"20,201 - 50,000",4081.3,"501 - 5,000",NA,NA,B-
R85038,^GOOD CITY CHINESE RESTAURANT^,"2. $10,000 to $29,999","$23,581",GA,30223,Southeast,2022-12-31T12:55:41Z,active,unknown,2019,36501,"20,201 - 50,000",130.4,101 - 500,"$51,542","$1 - $60,000",C
R81301,*NEW CHINA BUFFET*,,$0,PA,15001,Northeast,2020-05-09T21:08:50Z,canceled,unknown,2019,31081,"20,201 - 50,000",199.9,101 - 500,"$68,186","$60,000 - $100,000",NA
R85669,*CHINA KING*,"1. < $10,000","$3,387",NY,10603,Northeast,2023-06-06T02:12:31Z,active,chinese,2019,17866,"5,001 - 20,000",2096.3,"501 - 5,000","$125,385","$100,001 - $150,000",A
R86001,^OSAKA HIBACHI & SUSHI^,"2. $10,000 to $29,999","$20,214",FL,32327,Southeast,2023-08-16T02:00:10Z,active,japanese,2023,28525,"20,201 - 50,000",47.6,1 - 100,"$73,829","$60,000 - $100,000",B
R83952,*TSING TAO*,"2. $10,000 to $29,999","$14,105",WI,53110,Midwest,2022-12-04T00:15:53Z,suspended,chinese,2019,18271,"5,001 - 20,000",1481.7,"501 - 5,000","$66,592","$60,000 - $100,000",B-
R83716,*RICE KING*,"2. $10,000 to $29,999","$29,190",CT,6850,Northeast,2022-10-05T17:21:23Z,canceled,chinese,2019,17848,"5,001 - 20,000",1026.7,"501 - 5,000",NA,NA,A
R81623,GREAT CHINA,"3. $30,000 to $49,999","$32,940",PA,18634,Northeast,2021-04-25T15:29:42Z,active,unknown,2019,13148,"5,001 - 20,000",342.3,101 - 500,"$54,938","$1 - $60,000",C-
R86926,*^KUMO 27^*,,$0,NJ,8824,Northeast,2024-02-01T18:18:36Z,onboarding,japanese,2019,12077,"5,001 - 20,000",1197.6,"501 - 5,000",NA,NA,NA
R88275,CHINA HOUSE,"2. $10,000 to $29,999","$23,930",OH,44144,Midwest,2016-01-26T19:25:01Z,active,unknown,2019,21512,"20,201 - 50,000",1485.9,"501 - 5,000","$55,934","$1 - $60,000",C-
R81527,*LUCKY GARDEN CENTRAL CITY*,"1. < $10,000",$0,KY,42330,Southeast,2021-03-01T20:25:58Z,canceled,unknown,NA,8959,"5,001 - 20,000",39.8,1 - 100,"$49,200","$1 - $60,000",C+
R82558,ASIAN BISTRO,"1. < $10,000","$5,474",AR,72908,Southeast,2021-11-14T23:16:03Z,canceled,chinese,2019,13303,"5,001 - 20,000",633.5,"501 - 5,000","$63,697","$60,000 - $100,000",A
R85365,*JOY LUCK*,"2. $10,000 to $29,999","$10,194",FL,32952,Southeast,2023-04-07T06:16:06Z,active,chinese,2019,20966,"20,201 - 50,000",654.1,"501 - 5,000","$87,148","$60,000 - $100,000",A
R82686,GREAT WALL,"4. $50,000 - $99,999 ","$57,837",FL,34997,Southeast,2021-12-24T20:19:36Z,active,chinese,2019,44632,"20,201 - 50,000",175.3,101 - 500,"$72,963","$60,000 - $100,000",A-
R85213,KIM BO,"2. $10,000 to $29,999","$13,372",FL,32955,Southeast,2023-02-18T04:57:44Z,active,chinese,2019,38889,"20,201 - 50,000",680.1,"501 - 5,000","$82,969","$60,000 - $100,000",A
R86136,*^LOTUS GARDEN^*,,$0,CA,91784,West,2023-09-03T21:16:00Z,onboarding,unknown,2019,26090,"20,201 - 50,000",1105.6,"501 - 5,000","$145,496","$100,001 - $150,000",NA
R85987,*CHINA 1*,"2. $10,000 to $29,999","$13,809",IA,52655,Midwest,2023-08-14T19:02:09Z,suspended,chinese,NA,4163,"1 - 5,000",98.2,1 - 100,"$51,927","$1 - $60,000",C
R85522,^CHINA EXPRESS^,"1. < $10,000","$7,772",MS,39206,Southeast,2023-04-24T07:14:02Z,canceled,unknown,NA,24236,"20,201 - 50,000",1041.3,"501 - 5,000","$43,936","$1 - $60,000",C-
