UNIQUE_CODE,ENGLISH_NAME,GMV_LEVEL_VOICE_PLATFORM,GMV_MONTHLY_AVERAGE_VOICE_PLATFORM_USD,STATE_CODE,ZIP_CODE,REGION,CREATED_AT,STATUS,CUISINE_TYPE (Internal),First Seen (Brizo),Population,Population Band,Population Density,Population Density Band,Median Household Income,Median Income Band,School Zone Rating
R85305,HUNAN WOK,"2. $10,000 to $29,999","$19,488",NJ,8846,Northeast,2023-03-20T04:19:57Z,active,chinese,2019,13662,"5,001 - 20,000",1512.5,"501 - 5,000",NA,NA,B+
R81963,HONG KONG,"3. $30,000 to $49,999","$36,131",PA,17901,Northeast,2021-08-31T15:01:57Z,active,chinese,2019,22670,"20,201 - 50,000",112.2,101 - 500,"$55,429","$1 - $60,000",C+
R85185,CHINA KING,"4. $50,000 - $99,999 ","$63,158",NY,11427,Northeast,2023-02-10T07:50:19Z,active,chinese,2019,24560,"20,201 - 50,000",5997.9,"5,001 - 20,000","$84,691","$60,000 - $100,000",B+
R81332,JUNE HENG,"1. < $10,000","$7,798",IL,60107,Midwest,2020-11-01T22:44:22Z,canceled,unknown,2019,39894,"20,201 - 50,000",1931.7,"501 - 5,000","$94,502","$60,000 - $100,000",B-
R83003,^HUNAN WOK^,"1. < $10,000","$2,418",NJ,7927,Northeast,2022-04-07T21:16:01Z,suspended,chinese,2019,3814,"1 - 5,000",763.6,"501 - 5,000",NA,NA,A
R88529,AA RESTAURANT,"2. $10,000 to $29,999","$26,197",NY,10457,Northeast,2017-05-12T16:39:40Z,active,unknown,2019,74822,"50,001+",27276.2,"20,001+","$41,145","$1 - $60,000",B+
R86086,LUCKY WOK,"2. $10,000 to $29,999","$21,924",OH,44683,Midwest,2023-08-29T18:12:51Z,active,chinese,2019,8292,"5,001 - 20,000",46.8,1 - 100,"$52,482","$1 - $60,000",C
R82829,*CHINA GARDEN*,"1. < $10,000","$7,897",NC,27855,Southeast,2022-02-11T19:17:50Z,active,chinese,2019,6066,"5,001 - 20,000",42.9,1 - 100,"$44,398","$1 - $60,000",C-
R81759,FIRE WOK,"2. $10,000 to $29,999","$14,627",MD,21227,Northeast,2021-07-10T15:31:08Z,active,unknown,2019,33589,"20,201 - 50,000",1124.3,"501 - 5,000","$78,626","$60,000 - $100,000",C+
R86779,*HAPPY GARDEN*,"3. $30,000 to $49,999","$35,216",PA,18702,Northeast,2024-01-01T20:56:21Z,active,chinese,2019,40090,"20,201 - 50,000",223.3,101 - 500,"$53,294","$1 - $60,000",C
R86886,*^KIRIN SUSHI^*,"1. < $10,000",$0,TN,37013,Southeast,2024-01-25T18:20:40Z,active,japanese,2019,97939,"50,001+",941.2,"501 - 5,000","$67,270","$60,000 - $100,000",C
R85037,*BEI JING CHEF*,"3. $30,000 to $49,999","$40,952",NY,12569,Northeast,2022-12-31T05:00:53Z,active,chinese,2019,10047,"5,001 - 20,000",117.4,101 - 500,"$105,037","$100,001 - $150,000",A
R88681,NEW CHINA ROYAL,"2. $10,000 to $29,999","$28,316",NY,13021,Northeast,2018-05-19T14:49:39Z,active,unknown,2019,37841,"20,201 - 50,000",121.6,101 - 500,"$56,649","$1 - $60,000",B
R83807,*CHINA HOUSE*,"2. $10,000 to $29,999","$22,285",OH,44017,Midwest,2022-10-26T03:30:13Z,active,chinese,2019,18856,"5,001 - 20,000",1183.4,"501 - 5,000","$67,595","$60,000 - $100,000",B
R81629,*CHINA HOUSE*,"3. $30,000 to $49,999","$34,891",OH,44024,Midwest,2021-04-29T16:10:22Z,active,unknown,2019,23905,"20,201 - 50,000",102.2,101 - 500,"$103,250","$100,001 - $150,000",A-
R81308,TASTE OF CHINA,"2. $10,000 to $29,999","$27,412",IN,47712,Midwest,2020-05-17T17:29:26Z,active,unknown,2019,26764,"20,201 - 50,000",163,101 - 500,"$59,121","$1 - $60,000",B+
R88921,CHINA WOK,"3. $30,000 to $49,999","$30,599",MO,65101,Midwest,2019-04-19T22:12:22Z,active,unknown,2019,30120,"20,201 - 50,000",87.6,1 - 100,"$68,657","$60,000 - $100,000",B
R85272,CHINA STAR,"1. < $10,000","$6,877",NY,10605,Northeast,2023-03-09T04:57:53Z,active,chinese,2019,19195,"5,001 - 20,000",1458.6,"501 - 5,000","$140,262","$100,001 - $150,000",A
R82353,CHINA ONE,"1. < $10,000","$7,105",NY,11215,Northeast,2021-10-20T19:49:39Z,canceled,unknown,2019,69873,"50,001+",12404,"5,001 - 20,000","$173,899","$150,001 - $250,000",B+
R81589,CHINA SUN,"3. $30,000 to $49,999","$47,260",VA,23322,Southeast,2021-04-10T20:41:15Z,active,unknown,2019,64972,"50,001+",166.7,101 - 500,"$129,628","$100,001 - $150,000",A
R82053,*NEW KING CHEF*,"3. $30,000 to $49,999","$45,522",NJ,7110,Northeast,2021-09-22T20:16:09Z,active,chinese,2019,28397,"20,201 - 50,000",3249.2,"501 - 5,000",NA,NA,A
R81618,CHINA KITCHEN,"1. < $10,000","$7,548",FL,33126,Southeast,2021-04-23T15:44:16Z,canceled,chinese,NA,52986,"50,001+",4074.5,"501 - 5,000","$51,733","$1 - $60,000",B+
R82097,*NO.1*,"2. $10,000 to $29,999","$10,907",TN,37066,Southeast,2021-10-08T16:23:47Z,active,chinese,2019,51873,"50,001+",174.8,101 - 500,"$73,381","$60,000 - $100,000",A-
R81271,*EN LAI*,"2. $10,000 to $29,999","$12,943",IL,60435,Midwest,2020-08-26T16:02:05Z,active,unknown,2019,49390,"20,201 - 50,000",1780.9,"501 - 5,000","$72,860","$60,000 - $100,000",B
R83989,*LONG RIVER*,"3. $30,000 to $49,999","$35,083",ME,4037,Northeast,2022-12-13T05:55:57Z,active,chinese,2019,3869,"1 - 5,000",18.1,1 - 100,NA,NA,C-
R86107,^ASIAN HARBOR^,"1. < $10,000","$9,303",MD,21202,Northeast,2023-08-31T18:28:55Z,active,unknown,2019,21784,"20,201 - 50,000",5309.5,"5,001 - 20,000","$59,098","$1 - $60,000",C-
R88688,HOP HING,"2. $10,000 to $29,999","$22,239",NJ,7016,Northeast,2018-06-13T14:49:39Z,active,unknown,2019,24014,"20,201 - 50,000",1922.3,"501 - 5,000",NA,NA,A
R81591,HONG KONG,"2. $10,000 to $29,999","$16,490",VA,23803,Southeast,2021-04-12T17:10:08Z,active,unknown,2019,38187,"20,201 - 50,000",204,101 - 500,"$53,876","$1 - $60,000",C+
R85685,*HONG KONG KITCHEN*,"3. $30,000 to $49,999","$41,012",IN,47250,Midwest,2023-06-09T19:21:55Z,active,chinese,2019,22202,"20,201 - 50,000",41.4,1 - 100,"$56,330","$1 - $60,000",C+
R82905,CHINA WOK,"3. $30,000 to $49,999","$40,907",FL,33411,Southeast,2022-03-07T21:46:37Z,active,chinese,2019,72546,"50,001+",670.5,"501 - 5,000","$83,770","$60,000 - $100,000",B
R85271,GOLDEN STAR,"2. $10,000 to $29,999","$28,560",PA,17104,Northeast,2023-03-08T13:25:54Z,active,chinese,NA,20208,"20,201 - 50,000",2905.5,"501 - 5,000","$43,193","$1 - $60,000",D
R81775,^CHINA PANDA^,"2. $10,000 to $29,999","$28,757",CT,6248,Northeast,2021-07-19T16:32:30Z,active,unknown,2019,5605,"5,001 - 20,000",102.9,101 - 500,NA,NA,A-
R83955,^CHICKI'S WINGS^,"1. < $10,000","$7,633",SC,29210,Southeast,2022-12-05T05:52:01Z,active,unknown,2020,39312,"20,201 - 50,000",949.8,"501 - 5,000","$49,100","$1 - $60,000",C
R85593,FORTUNE GARDEN,"2. $10,000 to $29,999","$11,599",SC,29406,Southeast,2023-05-17T18:10:45Z,active,chinese,2019,34620,"20,201 - 50,000",916.2,"501 - 5,000","$45,797","$1 - $60,000",C+
R85526,^TANG DYNASTY^,"2. $10,000 to $29,999","$29,153",NJ,8753,Northeast,2023-04-25T05:06:35Z,active,Chinese,2019,63415,"50,001+",1061.9,"501 - 5,000",NA,NA,B
R81522,PANDA GARDEN,"2. $10,000 to $29,999","$21,559",WI,53545,Midwest,2021-03-04T00:10:19Z,active,unknown,2019,23208,"20,201 - 50,000",361.9,101 - 500,"$68,849","$60,000 - $100,000",B+
R83637,*CHINA 1*,"1. < $10,000","$9,152",MI,48043,Midwest,2022-09-12T23:28:47Z,canceled,unknown,2019,16332,"5,001 - 20,000",1535.6,"501 - 5,000","$55,154","$1 - $60,000",D+
