Row Labels,Sum of ARR,Sum of Total,Sum of Take Rate,,ID,Base & Other Fees,Rental,Voice ARR,Adj,ID,WP ARR,,ID,DE ARR,,ID,Status,,,
R81829,"5,892","84,289",6.99%,,R81681,200,0,"9,378",,R86563,963,,R87802,51,,,,,,
R81832,0,0,8.59%,,R81682,0,0,"21,084",,R86568,"1,532",,R87808,8,,,,,,
R81833,"6,952","99,455",6.99%,,R81683,0,0,"7,960",,R86569,"3,189",,R87809,1,,,,,,
R81835,"16,125","212,446",7.59%,,R81685,0,0,"22,386",,R86579,"1,238",,R87811,62,,,,,,
R81836,"21,338","305,270",6.99%,,R81686,0,0,0,,R86585,135,,R87815,15,,,,,,
R81837,"28,114","327,288",8.59%,,R81687,0,0,"19,512",,R86588,139,,R87816,1,,,,,,
R81839,0,0,6.99%,,R81688,0,0,0,,R86592,259,,R87819,3,,,,,,
R81852,"18,575","265,730",6.99%,,R81689,0,0,"31,323",,R86595,"1,722",,R87822,20,,,,,,
R81853,"5,860","83,827",6.99%,,R81692,27,0,324,,R86612,"1,023",,R87823,3,,,,,,
R81856,"20,327","290,806",6.99%,,R81693,54,0,648,,R86616,46,,R87827,27,,,,,,
R81858,"12,211","174,690",6.99%,,R81695,0,0,"63,460",,R86636,"6,021",,R87829,11,,,,,,
R81859,"18,329","262,219",6.99%,,R81696,0,0,"24,320",,R86638,627,,R87852,21,,,,,,
R81861,"13,140","187,984",6.99%,,R81697,0,0,"36,128",,R86682,424,,R87857,74,,,,,,
R81863,"8,000","114,455",6.99%,,R81698,200,0,"14,547",,R86687,295,,R87861,56,,,,,,
R81865,"7,781","97,266",8.00%,,R81699,0,0,0,,R86691,493,,R87866,2,,,,,,
R81866,"25,472","303,595",8.39%,,R81701,0,0,0,,R86696,199,,R87872,8,,,,,,
R81867,"4,308","51,343",8.39%,,R81702,0,0,"13,093",,R86697,276,,R87875,80,,,,,,
R81868,"13,881","198,581",6.99%,,R81703,10,0,"23,246",,R86698,413,,R87893,109,,,,,,
R81871,0,0,8.39%,,R81705,0,0,"9,668",,R86716,295,,R87896,7,,,,,,
R81872,"14,903","213,204",6.99%,,R81706,10,0,"18,659",,R86721,54,,R87898,1,,,,,,
R81873,"41,787","597,805",6.99%,,R81707,0,0,"57,113",,R86739,"3,576",,R87899,17,,,,,,
R81875,0,0,8.00%,,R81708,0,0,"14,456",,R86751,"2,348",,R87905,3,,,,,,
R81876,"6,841","97,873",6.99%,,R81709,200,0,"28,771",,R86761,799,,R87909,9,,,,,,
R81877,81,"1,018",7.99%,,R81711,10,0,"9,269",,R86763,"2,803",,R87911,5,,,,,,
R81878,"21,810","312,012",6.99%,,R81712,200,0,"12,739",,R86771,235,,R87918,28,,,,,,
R81879,0,0,6.99%,,R81713,0,0,0,,R86777,637,,R87921,43,,,,,,
R81881,"11,887","170,051",6.99%,,R81715,0,0,"22,594",,R86787,664,,R87927,5,,,,,,
R81885,"32,931","471,110",6.99%,,R81716,0,0,"5,037",,R86791,78,,R87932,1,,,,,,
R81887,"19,840","283,832",6.99%,,R81717,200,0,"29,652",,R86797,54,,R87938,173,,,,,,
R81888,"81,291","946,339",8.59%,,R81718,10,0,"17,164",,R86798,735,,R87951,30,,,,,,
R81889,"21,672","278,200",7.79%,,R81719,0,0,"10,897",,R86808,995,,R87955,2,,,,,,
R81891,"33,080","473,254",6.99%,,R81721,0,0,"22,724",,R86822,"1,366",,R87957,39,,,,,,
R81892,"14,071","223,353",6.30%,,R81722,10,0,"56,743",,R86832,482,,R87962,13,,,,,,
R81893,0,0,6.99%,,R81723,0,0,0,,R86837,323,,R87967,182,,,,,,
R81895,"13,245","189,490",6.99%,,R81726,10,0,"14,216",,R86838,"1,230",,R87968,1,,,,,,
R81896,"11,146","139,327",8.00%,,R81727,0,0,"15,907",,R86861,"3,126",,R87971,1,,,,,,
R81897,0,0,6.99%,,R81728,0,0,"26,153",,R86868,94,,R87973,42,,,,,,
R81898,"17,759","254,060",6.99%,,R81731,0,0,0,,R86875,"1,014",,R87975,2,,,,,,
R81899,"19,142","239,273",8.00%,,R81732,77,0,924,,R86891,573,,R87983,10,,,,,,
R81902,0,0,8.00%,,R81733,0,0,"26,772",,R86892,19,,R87986,21,,,,,,
R81903,"25,673","338,251",7.59%,,R81735,200,0,"16,881",,R86893,71,,R87991,6,,,,,,
R81905,0,0,6.99%,,R81736,0,0,"18,385",,R86895,49,,R87998,2,,,,,,
R81907,0,0,8.39%,,R81737,0,0,"18,638",,R86902,83,,R88119,349,,,,,,
R81908,0,0,8.00%,,R81738,0,0,0,,R86905,127,,R88192,98,,,,,,
R81909,"24,405","305,446",7.99%,,R81739,0,0,"18,631",,R86915,"1,352",,R88213,116,,,,,,
R81912,"15,729","225,028",6.99%,,R81751,0,0,"35,773",,R86916,654,,R88226,119,,,,,,
R81915,"21,303","266,617",7.99%,,R81752,0,0,0,,R86933,486,,R88251,22,,,,,,
R81916,"60,729","868,802",6.99%,,R81753,200,0,"55,657",,R86939,806,,R88283,75,,,,,,
R81918,"7,839","112,142",6.99%,,R81755,0,0,"17,836",,R86951,"1,091",,R88291,40,,,,,,
R81919,"11,194","160,146",6.99%,,R81756,0,0,"21,704",,R86953,"3,524",,R88318,113,,,,,,
R81922,0,0,6.99%,,R81757,0,0,"11,019",,R86963,189,,R88333,29,,,,,,
R81923,"4,717","67,481",6.99%,,R81758,10,0,"38,764",,R86977,410,,R88351,95,,,,,,
R81925,"19,884","284,467",6.99%,,R81759,0,0,"17,902",,R87012,"1,008",,R88353,73,,,,,,
R81928,"43,451","530,536",8.19%,,R81761,0,0,"18,394",,R87017,837,,R88379,56,,,,,,
R81929,"16,788","210,113",7.99%,,R81762,0,0,0,,R87021,"1,493",,R88395,106,,,,,,
R81932,0,0,7.59%,,R81763,0,0,0,,R87027,"2,049",,R88399,23,,,,,,
