Row Labels,Sum of ARR,Sum of Total,Sum of Take Rate,,ID,Base & Other Fees,Rental,Voice ARR,Adj,ID,WP ARR,,ID,DE ARR,,ID,Status,,,
R81338,"23,093","330,369",6.99%,,R81253,0,0,0,,R82598,"1,201",,R85723,145,,R87577,Aug'24 New,,,
R81339,0,0,8.72%,,R81255,0,0,"12,596",,R82603,"4,702",,R85766,98,,R87657,Aug'24 New,,,
R81352,"20,032","250,720",7.99%,,R81256,10,0,"18,741",,R82615,"4,727",,R85775,230,,R87655,Aug'24 New,,,
R81353,"36,337","478,744",7.59%,,R81257,0,0,"8,456",,R82619,775,,R85785,18,,R87639,Aug'24 New,,,
R81355,"16,509","236,174",6.99%,,R81258,0,0,0,,R82638,"7,219",,R85807,"1,948",,R87665,Aug'24 New,,,
R81356,"22,328","286,630",7.79%,,R81259,0,0,"16,859",,R82653,"11,048",,R85925,534,,R87606,Aug'24 New,,,
R81357,"19,059","272,663",6.99%,,R81261,10,0,"16,844",,R82661,"4,688",,R85929,339,,R87658,Aug'24 New,,,
R81358,"30,803","358,595",8.59%,,R81262,0,0,0,,R82662,196,,R85956,203,,R87628,Aug'24 New,,,
R81359,"4,871","56,702",8.59%,,R81263,0,0,"15,887",,R82673,"1,118",,R85962,4,,R87651,Aug'24 New,,,
R81361,"22,048","256,671",8.59%,,R81265,0,0,"15,003",,R82681,"10,836",,R85965,153,,R87637,Aug'24 New,,,
R81362,"12,798","168,615",7.59%,,R81266,0,0,"29,458",,R82688,"1,144",,R85976,293,,R87613,Aug'24 New,,,
R81369,"12,574","179,889",6.99%,,R81267,200,0,"13,850",,R82693,739,,R86005,18,,R87656,Aug'24 New,,,
R81371,"29,498","388,640",7.59%,,R81268,0,0,0,,R82695,"2,725",,R86123,232,,R87626,Aug'24 New,,,
