,,Total ARR,,,,,,,,,,,,,,,,,,Voice ARR,,,,,,,,,,,,,,,WP ARR,,,,,,,,,,,,,,,DE ARR,,,,,,,,,,,,,,,H/W Rental ARR,,,,,,,,,,,,,,,Comments,,,,
UID,FT/PT,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,Q/Q,Q/Q %,Status,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,Q4'21,Q1'22,Q2'22,Q3'22,Q4'22,Q1'23,Q2'23,Q3'23,Q4'23,Q1'24,Q2'24,Jul'24,Aug'24,Sep'24,,,Q1'24,Q2'24,R81001,R81001
R81051,FT,"24,055","23,968","22,720","20,110","21,283","21,353","20,212","24,462","21,117","23,499","26,679","20,726","20,486","18,523","-6,193",-23%,-1%,,"22,241","22,078","20,651","17,882","18,962","19,067","16,636","20,791","18,043","19,085","23,451","17,600","17,157","15,194",,"1,814","1,890","2,069","2,228","2,321","2,286","3,576","3,671","3,074","4,414","3,228","3,126","3,329","3,329",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Usage stopped in the first week of May 2024.  Client communicated a 2 month pause with a return in August.  Decision to reduce ARR since pause is longer than 2 months,R81055,R81055
R81052,FT,"26,217","39,666","37,780","36,941","30,103","37,077","37,240","38,312","34,576","38,386","38,915","37,991","36,124","38,057","-2,791",-7%,-5%,,"26,217","39,666","37,780","36,941","30,103","37,077","37,240","38,312","34,576","38,386","38,915","37,991","36,124","38,057",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81057,R81057
R81053,FT,"66,539","70,493","54,895","55,803","57,647","58,068","53,690","56,881","55,083","57,543",653,648,648,648,-5,-1%,0%,,"58,395","62,115","49,056","49,596","50,135","51,354","48,234","49,687","48,545","50,858",653,648,648,648,,"8,144","8,378","5,839","6,207","7,512","6,714","5,456","7,194","6,538","6,685",0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81058,R81058
R81055,FT,0,0,0,0,0,"23,893","28,137","28,868","24,336","24,803","25,633","26,893","25,261","25,583",-372,-1%,-6%,,0,0,0,0,0,"23,893","28,137","28,868","24,336","24,803","25,633","26,893","25,261","25,583",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81061,R81061
R81057,FT,"29,732","23,211","22,809","24,054","27,802","21,998","24,265","22,305","34,898","21,067","23,082","22,870","20,827","21,723","-2,255",-10%,-9%,,"29,732","23,211","22,809","24,054","27,802","21,998","24,265","22,305","34,898","21,067","23,082","22,870","20,827","21,723",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81063,R81063
R81058,FT,"28,448","25,453","21,899","22,266","21,171","21,426","19,634","19,141","16,969","17,412","17,530","21,231","17,277","16,773",-253,-1%,-19%,,"25,230","22,246","19,476","19,715","18,333","19,101","17,535","17,365","15,072","15,668","15,683","19,150","15,742","15,238",,"3,218","3,207","2,423","2,551","2,838","2,205","2,099","1,776","1,897","1,744","1,847","2,082","1,535","1,535",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,120,0,0,0,0,0,0,0,0,,,,,R81065,R81065
R81061,FT,"9,102","9,647","6,593","5,857",0,0,0,0,"5,134",0,0,0,0,0,0,,,,"7,056","7,793","5,295","4,820",0,0,0,0,"5,134",0,0,0,0,0,,"2,046","1,854","1,298","1,037",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81067,R81067
R81063,FT,"26,473","23,545","24,477","25,727","26,095","24,971","27,618","22,994","26,170","23,117","23,847","23,110","22,216","24,119","-1,631",-7%,-4%,,"26,473","23,545","24,477","25,727","26,095","24,971","27,618","22,994","26,170","23,117","23,847","23,110","22,216","24,119",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81068,R81068
R81065,FT,"29,506","31,873","30,776","46,560","40,576","46,517","44,768","47,564","49,175","40,464","42,162","43,819","41,295","43,296",-867,-2%,-6%,,"29,506","31,873","30,776","46,560","40,576","46,517","44,768","47,564","49,175","40,464","42,162","43,819","41,295","43,296",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81072,R81072
R81067,FT,"7,091","6,561","4,561","4,887","5,053","5,273","4,468","3,284",0,0,0,0,0,0,0,,,,"7,091","6,561","4,561","4,887","5,053","5,273","4,468","3,284",0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81073,R81073
R81068,FT,"25,716","28,567","26,818","28,809","31,474","33,087","39,084","37,549","37,184","39,006","40,343","38,727","39,595","38,810",-748,-2%,2%,,"22,721","25,024","23,540","25,159","27,158","29,328","32,397","33,416","32,142","34,513","36,051","34,273","35,338","34,553",,"2,995","3,543","3,278","3,650","4,316","3,759","6,687","4,133","5,042","4,493","4,292","4,454","4,257","4,257",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81075,R81075
R81072,FT,"15,021","18,713","16,573","16,128","14,269","19,111","18,443","16,498","15,168","17,078","15,003","17,213","15,969","16,213",966,6%,-7%,,"13,256","16,759","15,154","14,787","12,740","17,240","16,867","15,012","13,689","15,522","13,633","15,724","14,778","15,022",,"1,765","1,954","1,419","1,341","1,529","1,871","1,576","1,486","1,479","1,556","1,370","1,489","1,191","1,191",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,R81076,R81076
