zip_code,total_pop,white_alone,black_alone,asian_alone,chinese_persons,chinese_speakers_total,pct_white,pct_black,pct_asian,pct_chinese
00715,2003,537,173,0,0,0,0.26809785322016977,0.08637044433349975,0.0,0.0
00716,27705,12466,1503,0,0,0,0.4499548817902906,0.05425013535462913,0.0,0.0
00717,14651,6372,598,12,12,0,0.4349191181489318,0.04081632653061224,0.0008190567196778377,0.0008190567196778377
00718,23174,4507,298,0,0,0,0.19448519892983515,0.012859238802105807,0.0,0.0
00719,29732,9916,2130,34,1,0,0.3335127135745998,0.07163998385577829,0.0011435490380734563,3.36337952374546e-05
00720,20974,7324,936,0,0,0,0.3491942404882235,0.0446266806522361,0.0,0.0
00723,15835,777,3269,0,0,0,0.04906851910325229,0.20644142721818756,0.0,0.0
00725,76246,34630,6578,224,53,0,0.4541877606694122,0.08627337827558167,0.0029378590352280775,0.0006951184324423576
00727,53412,23179,4876,186,0,0,0.43396614992885496,0.09129034673856062,0.0034823635138171195,0.0
00728,37322,18795,2166,95,23,0,0.5035903756497508,0.05803547505492739,0.0025454155725845346,0.000616258507046782
00729,47653,10542,6978,313,0,0,0.22122426709755943,0.14643359284829915,0.006568316790128638,0.0
00730,31976,10431,1343,0,0,0,0.3262134100575432,0.04200025018764073,0.0,0.0
00731,10221,4012,390,0,0,0,0.39252519322962526,0.038156736131493986,0.0,0.0
00735,11159,1887,534,56,56,0,0.16910117394031723,0.04785375033605162,0.005018370821758222,0.005018370821758222
00736,45528,16219,3993,71,71,0,0.3562423124231242,0.08770426989984186,0.001559479880513091,0.001559479880513091
00738,29797,6300,1817,147,0,0,0.21143068094103434,0.060979293217437995,0.004933382555290801,0.0
00739,34595,11636,3876,23,0,0,0.33634918340800696,0.11203931203931204,0.000664835958953606,0.0
00740,1959,537,52,0,0,0,0.27411944869831545,0.026544155181214904,0.0,0.0
00741,3733,464,204,0,0,0,0.12429681221537638,0.05464773640503617,0.0,0.0
00745,47077,8796,5489,161,0,0,0.18684283195615695,0.11659621471206746,0.003419929052403509,0.0
00751,19596,3501,2251,0,0,0,0.1786589099816289,0.11487038171055318,0.0,0.0
00754,36822,2413,6269,103,103,0,0.06553147574819401,0.17025148009342242,0.0027972407799684972,0.0027972407799684972
00757,19974,3749,1471,31,0,0,0.18769400220286372,0.0736457394612997,0.0015520176229097827,0.0
00765,8147,1028,222,17,0,0,0.1261814164723211,0.027249294218730822,0.0020866576653983063,0.0
00766,21829,7573,2219,0,0,0,0.34692381694076685,0.10165376334234276,0.0,0.0
00767,30453,2088,5911,11,0,0,0.06856467343118905,0.19410238728532492,0.0003612123600302105,0.0
