Snowball Map,Company / Account,Street,City,Zip/Postal Code,State/Province (text only),MobilePrimary,BusinessPhone
71021,LUCKY STATE,521 LINDEN AVE,POCOMOKE CITY,21851,MD,,2565721312
71022,MAYFLOWER CHINESE RESTAURANT & CARRYOUT,7925 NORFOLK AVE,BETHESDA,20814,MD,,3016528918
71023,MAYFLOWER VI,10750 HICKORY RIDGE RD,COLUMBIA,21044,MD,,4107409898
71024,NEW CENTURY CARRY OUT & REST,5400 QUEENS CHAPEL RD,HYATTSVILLE,20782,MD,,3015595301
71025,PACIFICA CAFÉ,621 CENTER POINT WAY,GAITHERSBURG,20878,MD,,3015191488
71026,PANDA KING OF MD,6210 LIVINGSTON RD,OXON HILL,20745,MD,,3018398085
71027,PEKING RESTAURANTS,3801 CHESAPEAKE BEACH RD,CHESAPEAKE BEACH,20732,MD,,4102573333
71028,SHANG HAI RESTAURANT,3409 MORNINGWOOD DR,OLNEY,20832,MD,,3015702200
71029,SHANGHAI CARRY OUT,2157 W PATAPSCO AVE,BALTIMORE,21230,MD,,4106461520
71030,SUPER EASTERN,5816 ALLENTOWN WAY,CAMP SPRINGS,20748,MD,,3014493800
71031,SZECHUAN TASTE,7678 BELAIR RD,NOTTINGHAM,21236,MD,,4108828568
71032,WAH LOCK RESTAURANT,6505 NEW HAMPSHIRE AVE,TAKOMA PARK,20912,MD,,3012700043
71033,WINLI ASIAN RESTAURANT,2519 PUTTY HILL AVE,PARKVILLE,21234,MD,,4108821388
71034,YUNG'S CARRY OUT,818 GUILFORD AVE,BALTIMORE,21202,MD,,4105398200
71035,HEARTY'S CHINESE RESTAURANT,13322 LAUREL BOWIE RD,LAUREL,20708,MD,,3017761100
71036,NEW CHINA CARRYOUT,4121 SOUTHERN AVE SE,CAPITOL HEIGHTS,20743,MD,,3019673975
71037,#1 CHINESE FOOD,1210 NANTICOKE RD,SALISBURY,21801,MD,,4105463888
71038,ASIA CAFE,703 1ST ST,ROCKVILLE,20851,MD,,3016107899
71039,ASIAN COURT,11075 RESORT ROAD,ELLICOTT CITY,21042,MD,,4104618388
71040,ASIAN GARDEN,1509 N PHILADELPHIA AVE,OCEAN CITY,21842,MD,,4102897423
71041,ASIAN ONE - Permanently closed,9900 WASHINGTON BLVD N STE F,LAUREL,20723,MD,,3014833267
71042,ASIAN RESTAURANT,5401 KENILWORTH AVE B,RIVERDALE,20737,MD,,3019274942
71043,ASIAN STAR RESTAURANTS,12758 OLD FORT RD,FORT WASHINGTON,20744,MD,,3012031888
71044,ASIAN TASTE,916 W 36TH ST,BALTIMORE,21211,MD,,4104670100
71045,ASIAN WOK,5443 BELAIR RD,BALTIMORE,21206,MD,,4103252000
71046,BAMBOO,7075 BALTIMORE ANNAPOLIS BLVD,GLEN BURNIE,21061,MD,,4108598868
71047,BAMBOO GARDEN RESTAURANT,225 BRIERHILL DR,BEL AIR,21015,MD,,4437874365
71048,BEIJING CAFE,1324 CRAIN HWY,BOWIE,20716,MD,,3012494242
71049,BEIJING DELIGHT,8646 FLOWER AVE,TAKOMA PARK,20912,MD,,3016083844
71050,BEIJING EXPRESS,5654 BALTIMORE NATIONAL PIKE,BALTIMORE,21228,MD,,4107880880
71051,BEIJING EXPRESS RESTAURANT,15901 MD-210,ACCOKEEK,20607,MD,,3012923188
71052,BEIJING KITCHEN,2478 CENTREVILLE RD # D,CENTREVILLE,21617,MD,,4107580036
71053,BEIJING OF GREENBELT,1802 131 CENTERWAY,GREENBELT,20770,MD,,3013453996
71054,BEIJING PALACE RESTAURANT,4531 KENILWORTH AVE,BLADENSBURG,20710,MD,,3016996088
71055,BEIJING PALACE RESTAURANT,841 S MAIN ST,HAMPSTEAD,21074,MD,,4103742328
71056,BEIJING RESTAURANT,343 SMALLWOOD DR,WALDORF,20602,MD,,3016450888
71057,BEST HUNAN,8630 GUILFORD RD,COLUMBIA,21046,MD,,4103819798
71058,BO BO CHINESE KITCHEN,222 S BRIDGE ST #9,ELKTON,21921,MD,,4103920029
71059,BRUCE LEE CARRY OUT,1770 YORK RD,LUTHERVILLE-TIMONIUM,21093,MD,,4102528866
71060,CAFE HONG KONG,13038 MIDDLEBROOK ROAD,GERMANTOWN,20874,MD,,3019726363
71061,CANTON DELIGHT,18550 WOODFIELD RD,GAITHERSBURG,20879,MD,,3018692818
71062,CANTON RESTAURANT,11 RIDGELY AVE,ANNAPOLIS,21401,MD,,4102808658
71063,CHAN'S CHINESE RESTAURANT,6307 SHERWOOD RD,NORTHWOOD,21239,MD,,4103778829
71064,CHARLIES CHINESE FOOD CARRYOUT,5206 PARK HEIGHTS AVE,BALTIMORE,21215,MD,,4104663164
71065,CHEN HONG KONG RESTAURANT,2426 N CHARLES ST,BALTIMORE,21218,MD,,4102358745
71066,CHINA 88,22405 JEFFERSON BLVD,SMITHSBURG,21783,MD,,3018247300
71067,CHINA AMERICAN INN,601 7TH ST,LAUREL,20707,MD,,3013171818
71068,CHINA BAY,4307 ST BARNABAS RD,MARLOW HEIGHTS,20748,MD,,3014234888
71069,CHINA BISTRO,755 HUNGERFORD DR,ROCKVILLE,20850,MD,,3012940808
71070,CHINA BUFFET,1041 MARYLAND AVE,HAGERSTOWN,21740,MD,,2404205955
71071,CHINA BUFFET,8223 ELLIOTT RD #19,EASTON,21601,MD,,4107638800
71072,CHINA CAFE,20943 POINT LOOKOUT RD,CALLAWAY,20620,MD,,3019949938
71073,CHINA CAFE,22558 MACARTHUR BLVD #376,CALIFORNIA,20619,MD,,3018661607
71074,CHINA CAFE,7095 ALLENTOWN RD,TEMPLE HILLS,20748,MD,,3014495424
71075,Nomi's Asian Cuisine,404 8th St SW,Altoona,50009,IA,,5154146792
71076,CHINA CHEF,12089 SOMERSET AVE,PRINCESS ANNE,21853,MD,,4106515768
71077,Heavenly Asian Cuisine & Lounge,225 5th St,West Des Moines,50265,IA,,5152749156
71078,CHINA CHEF,2400 3816 E LOMBARD ST,BALTIMORE,21224,MD,,4102765100
71079,Sam's Fine Food & Egg Rolls,3300 SW 9th St UNIT 4,Des Moines,50315,IA,,5152885400
71080,CHINA CHEF,704 N ROLLING RD,CATONSVILLE,21228,MD,,4107190828
71081,Taste Place,223 Welch Ave,Ames,50014,IA,,5152927719
71082,CHINA CHEF RESTAURANT,12114 CENTRAL AVE,MITCHELLVILLE,20721,MD,,3013903888
71083,Little Taipei,2514 Chamberlain St,Ames,50014,IA,,5152926123
71084,CHINA CITY,4918 ANNAPOLIS RD,BLADENSBURG,20710,MD,,3012778818
71085,Oriental Express,1621 706 Main St,Pella,50219,IA,,6416201199
71086,CHINA DELIGHT,1 NEWPORT DR,FOREST HILL,21050,MD,,4108779490
71087,CHINA DRAGON,6300 GEORGETOWN BLVD # 109,SYKESVILLE,21784,MD,,4107950088
71088,China Buffet,500 S Taft Ave,Mason City,50401,IA,,6414241100
71089,CHINA DRAGON RESTAURANT,7625 HARFORD RD,PARKVILLE,21234,MD,,4104262666
71090,B&C Kitchen,7 1st Ave NW,Hampton,50441,IA,,6414562788
71091,CHINA EAST,14050A TRAVILAH RD,ROCKVILLE,20850,MD,,3013096338
71092,Uncle Sun,100 S Linn St,Iowa City,52240,IA,,3193381038
71093,CHINA EAST,6230 EASTERN AVE,BALTIMORE,21224,MD,,4106336699
71094,CHINA EXPRESS DO NOT CALL,28772 OCEAN GATEWAY,SALISBURY,21801,MD,,4107422800
71095,China House,118 2nd St,Coralville,52241,IA,,3193388885
71096,CHINA EXPRESS,3223 PLAZA DR,WALDORF,20603,MD,,3019329882
71097,Peking Buffet,93 2nd St,Coralville,52241,IA,,3193331369
71098,CHINA EXPRESS,3671 BLADENSBURG RD,BRENTWOOD,20722,MD,,3012771447
71099,COOL BASIL,1250 NW 86TH ST,CLIVE,50325,IA,,5152258111
71100,CHINA EXPRESS,419 E 33RD ST,BALTIMORE,21218,MD,,4102351100
71101,HUHOT MONGOLIAN GRILL,4100 UNIVERSITY AVE,DES MOINES,50311,IA,,5154579090
71102,CHINA EXPRESS CARRYOUT,3422 POWDER MILL RD,BELTSVILLE,20705,MD,,3015953882
71103,HU HOT MONGLIAN GRILL,6301 UNIVERSITY AVE,CEDAR FALLS,50613,IA,,3195531100
71104,CHINA FONG'S,7459 ANNAPOLIS RD,LANDOVER HILLS,20784,MD,,3015772873
71105,OSAKA SUSHI BAR INC,320 W KIMBERLY RD STE 412,DAVENPORT,52806,IA,,5633865989
71106,CHINA FUN,7206 YORK RD B,BALTIMORE,21212,MD,,4103214212
71107,GREAT DRAGON CHINESE REST,1233 4TH ST SW,WAVERLY,50677,IA,,3193524006
71108,CHINA GARDEN,2408 1734 N ROLLING RD,WINDSOR MILL,21244,MD,,4102658777
71109,DRAGON PALACE,2720 W LOCUST ST STE B14,DAVENPORT,52804,IA,,5633860967
71110,CHINA GARDEN,8653 BELAIR RD,BALTIMORE,21236,MD,,4105298388
71111,HUHOT MONGOLIAN GRILL,917 25TH AVE,CORALVILLE,52241,IA,,3193589100
71112,CHINA GARDEN RESTAURANT,1027 POPLAR GROVE ST,BALTIMORE,21216,MD,,4109473844
71113,ORYZA ASIAN CUISINE,5 STURGIS CORNER DR,IOWA CITY,52246,IA,,3198000888
71114,CHINA GARDEN RESTAURANT,1251 W PRATT ST #2600,BALTIMORE,21223,MD,,4102349055
71115,Le's Restaurant,113 COLORADO AVE STE 117,AMES,50014,IA,5154507521,5152920002
71116,CHINA GARDEN RESTAURANT,1278 BAY DALE DR,ARNOLD,21012,MD,,4107573388
71117,SARKU JAPAN,1451 CORAL RIDGE AVE,CORALVILLE,52241,IA,,3196256022
71118,CHINA GARDEN RESTAURANT,3421 CLIFTON AVE,BALTIMORE,21216,MD,,4102336576
71119,PEKING BUFFET ZHENG LLC,1501 MAIN ST,KEOKUK,52632,IA,,3193138821
71120,CHINA GARDEN RESTAURANT,3847 ERDMAN AVE,BALTIMORE,21213,MD,,4105581288
71121,SZECHUAN HOUSE,3605 LINCOLN WAY,AMES,50014,IA,,5152927888
71122,CHINA GOLDEN RESTAURANT,9127 RIGGS RD,ADELPHI,20783,MD,,3014342133
71123,CHUONG GARDEN,1110 A AVE W,OSKALOOSA,52577,IA,,6416768899
71124,CHINA GOURMET,625 DUAL HWY,HAGERSTOWN,21740,MD,,3017916790
71125,MANDARIN SPICE BFFET GRILL LLC,1412 TWIXT TOWN RD,MARION,52302,IA,,3193770555
71126,CHINA GOURMET,3739 UNIVERSITY BLVD W,KENSINGTON,20895,MD,,3019469400
71127,CHINA GOURMET,685 OLD MILL RD,MILLERSVILLE,21108,MD,,4107292598
71128,SUSHIYA,745 COMMUNITY DR,NORTH LIBERTY,52317,IA,,3196266666
71129,SZECHUAN HOUSE,320 E BURLINGTON ST,IOWA CITY,52240,IA,3197205083,3193386788
71130,CHINA HOUSE,1438 LIBERTY RD #7,SYKESVILLE,21784,MD,,4105529994
71131,PANDA CHINESE FOOD,555 WALNUT ST STE 305,DES MOINES,50309,IA,,5152440800
71132,CHINA HOUSE,16 DENTON PLZ,DENTON,21629,MD,,4104793595
71133,PAD THAI LLC,119 N MAIN ST,MOUNT PLEASANT,52641,IA,,3193858520
71134,CHINA HOUSE,2233 EASTERN AVE,BALTIMORE,21231,MD,,4105223456
71135,CHINESE STAR,101 S MAIN ST,OSCEOLA,50213,IA,,6413421441
71136,CHINA HOUSE,3824 LIBERTY HEIGHTS AVE #7119,BALTIMORE,21215,MD,,4103672399
71137,Sumo Sushi Bar & Grill,122 E WASHINGTON ST,IOWA CITY,52240,IA,,13195692913
71138,CHINA HOUSE,4111 FREDERICK AVE,BALTIMORE,21229,MD,,4103683999
71139,LEES CHINESE BARBECUE,1600 2ND AVE,DES MOINES,50314,IA,,5152446111
71140,CHINA HOUSE,711 WASHINGTON AVE #31,CHESTERTOWN,21620,MD,,4107783939
71141,CHINA CAFE,4444 1ST AVE NE,CEDAR RAPIDS,52402,IA,,3193931040
71142,CHINA HOUSE CARRYOUT,337 HOSPITAL DR U,GLEN BURNIE,21061,MD,,4107668885
71143,TOKYO JPNESE STKHUSE SUSHI BAR,4565 SOUTHERN HILLS DR,SIOUX CITY,51106,IA,,7122242009
71144,CHINA HOUSE RESTAURANT,1256 E NORTH AVE,BALTIMORE,21202,MD,,4102354599
71145,KAPOK,906 2ND ST STE C,CORALVILLE,52241,IA,,3193383888
71146,CHINA KING,339 W WASHINGTON ST,HAGERSTOWN,21740,MD,,3017901222
71147,888 Chinese Seafood Restaurant,809 WHEELER ST #106,AMES,50010,IA,,5152323366
71148,CHINA KING,3827 ASPEN HILL RD,SILVER SPRING,20906,MD,,3018717999
71149,ASIAN BUFFET,804 STORY ST,BOONE,50036,IA,,5154321765
71150,CHINA KING,6200 SOLOMONS ISLAND RD,HUNTINGTOWN,20639,MD,,4102572588
71151,ASIAN GARDEN RESTAURANT,116 E BREMER AVE,WAVERLY,50677,IA,,3193525253
71152,CHINA KING,7165 BALTIMORE ANNAPOLIS BLVD,GLEN BURNIE,21061,MD,,4107878888
71153,BAMBOO VILLAGE RESTAURANT,514 E ERIE ST,MISSOURI VALLEY,51555,IA,,7126006542
71154,BAMBOO VILLAGE RESTAURANT,128 CENTRAL AVE NW,LE MARS,51031,IA,,7125461688
71155,CHINA KITCHEN,1020 PULASKI HWY,HAVRE DE GRACE,21078,MD,,4109399026
71156,BEIJING RESTAURANT,421 EDGEWOOD RD NW,CEDAR RAPIDS,52405,IA,,3193964395
71157,CHINA KITCHEN,3007 EASTERN BLVD,MIDDLE RIVER,21220,MD,,4102387550
71158,CANTON CHINESE CUISINE,5923 ASHWORTH RD,WEST DES MOINES,50266,IA,,5152229277
71159,CHINA KITCHEN,3201 MOUNTAIN RD #114,PASADENA,21122,MD,,4103606130
71160,CHANG'S CHINESE KITCHEN,612 SUMNER AVE,HUMBOLDT,50548,IA,,5156046252
71161,CHINA KITCHEN,4642 WILKENS AVE,BALTIMORE,21229,MD,,4105360746
71162,BUND WOK,617 K AVE,PLANO,75074,TX,,4694864850
71163,CHINA KITCHEN REST,2201 E NORTH AVE,BALTIMORE,21213,MD,,4103275555
71164,C WOK,3505 E PARK BLVD #340,PLANO,75074,TX,6825978722,9728019903
71165,CHINA MANOR,2315 HANOVER PIKE,HAMPSTEAD,21074,MD,,4103742300
71166,CAFE EAST 3 CHINESE BUFFET - MISSION BEND,6771 S TEXAS 6,HOUSTON,77083,TX,,8323513990
71167,CHINA MAX,488 PREMIUM OUTLETS BLVD,HAGERSTOWN,21740,MD,,3017338837
71168,CANTON EXPRESS,1501 PRESTON RD #250,PLANO,75093,TX,,9727358646
71169,CHINA MOON CARRY OUT,9 W RIDGELY RD,LUTHERVILLE-TIMONIUM,21093,MD,,4102520960
71170,CHEF CHAN'S THE WOODLANDS,7 SWITCHBUD PL C-190,SPRING,77380,TX,,2813630037
71171,CHINA PALACE,800 PULASKI HWY,HAVRE DE GRACE,21078,MD,,4109399398
71172,CHINA PALACE RESTAURANT,1500 UNIVERSITY BLVD E,LANGLEY PARK,20783,MD,,3014341370
71173,CHEF DING,14348 MEMORIAL DR,HOUSTON,77079,TX,,2815892288
71174,CHINA RESTAURANT,8567 LANDOVER RD,LANDOVER,20785,MD,,3013225923
71175,CHEF HOUSE,4028 CEDAR SPRINGS RD,DALLAS,75219,TX,,2145282122
71176,CHINA SEA CARRY OUT,7800 HARFORD RD,PARKVILLE,21234,MD,,4106632888
71177,CHEF LIN'S TO GO,6625 19TH ST,LUBBOCK,79407,TX,8054608068,8063683295
71178,CHINA SKY,6266 CENTRAL AVE,SEAT PLEASANT,20743,MD,,3013364800
71179,CHEF WANG,1201 MAIN ST #390,DALLAS,75202,TX,,2147411711
71180,CHINA SPRING,23209 STRINGTOWN RD,CLARKSBURG,20871,MD,,3015409188
71181,CHEN'S,302 S TIMBERLAND DR,LUFKIN,75901,TX,,9366321635
71182,CHINA SPRING RESTAURANT,28 E ORDNANCE RD,GLEN BURNIE,21060,MD,,4108638838
71183,CHIN SAN CHINESE RESTAURANT,13239 NACOGDOCHES RD,SAN ANTONIO,78217,TX,,2106460377
71184,CHINA STAR,5319 PULASKI HWY,PERRYVILLE,21903,MD,,4106429978
71185,CHINA 1,302 N MAIN ST,HIGHLANDS,77562,TX,,2814262222
